"Model","Heterogeneity","Estimate","se","t_value","lower_2.5","upper_97.5"
"M1: Naive","Random Coefficient",0.0117,0.0021,5.6803,0.0077,0.0158
"M2: Search - Altice","Random Coefficient",0.0039,0.001,4.1153,0.0021,0.0058
"M3: Search - All","Random Coefficient",0.004,0.001,4.1689,0.0021,0.0059
"M4: Search + Media","Random Coefficient",0.0017,0.0007,2.617,0.0004,0.003
"M1: Naive","Random Intercept",0.0114,0.0006,18.1058,0.0102,0.0126
"M2: Search - Altice","Random Intercept",0.0033,0.0006,5.2382,0.0021,0.0045
"M3: Search - All","Random Intercept",0.0037,0.0006,5.7504,0.0024,0.0049
"M4: Search + Media","Random Intercept",0.0013,0.0007,1.7871,-0.0001,0.0027
