period,mmm_b2c_acq_dma,inbound_call_volume
2018-11-18,CHARLESTON-HUNTINGTON WV,381
2018-11-18,DALLAS-FT WORTH TX,365
2018-11-18,EUREKA CA,79
2018-11-18,GREENVILLE-NEW BERN-WASH NC,401
2018-11-18,HOUSTON TX,253
2018-11-18,JONESBORO AR,105
2018-11-18,LAKE CHARLES LA,141
2018-11-18,LITTLE ROCK AR,219
2018-11-18,LUBBOCK TX,279
2018-11-18,MONROE-EL DORADO LA-AR,102
2018-11-18,"NEW YORK, NY",8247
2018-11-18,ODESSA-MIDLAND TX,195
2018-11-18,OKLAHOMA CITY OK,171
2018-11-18,PARKERSBURG WV,102
2018-11-18,PHOENIX AZ,294
2018-11-18,RALEIGH-DURHAM NC,215
2018-11-18,SAN ANGELO TX,123
2018-11-18,SHREVEPORT LA,167
2018-11-18,SPRINGFIELD MO,144
2018-11-18,ST JOSEPH MO,54
2018-11-18,TULSA OK,64
2018-11-18,TYLER-LONGVIEW TX,410
2018-11-18,VICTORIA TX,72
2018-11-18,WACO-TEMPLE-BRYAN TX,103
2018-11-25,ABILENE-SWEETWATER TX,231
2018-11-25,ALEXANDRIA LA,225
2018-11-25,AMARILLO TX,330
2018-11-25,AUSTIN TX,182
2018-11-25,All Other Suddenlink DMA Total,734
2018-11-25,BLUEFIELD-BECKLEY-OAK HILL WV,271
2018-11-25,CHARLESTON-HUNTINGTON WV,497
2018-11-25,DALLAS-FT WORTH TX,474
2018-11-25,EUREKA CA,136
2018-11-25,GREENVILLE-NEW BERN-WASH NC,471
2018-11-25,HOUSTON TX,418
2018-11-25,JONESBORO AR,133
2018-11-25,LAKE CHARLES LA,211
2018-11-25,LITTLE ROCK AR,308
2018-11-25,LUBBOCK TX,367
2018-11-25,MONROE-EL DORADO LA-AR,127
2018-11-25,"NEW YORK, NY",12124
2018-11-25,ODESSA-MIDLAND TX,284
2018-11-25,OKLAHOMA CITY OK,214
2018-11-25,PARKERSBURG WV,153
2018-11-25,PHOENIX AZ,381
2018-11-25,RALEIGH-DURHAM NC,323
2018-11-25,SAN ANGELO TX,138
2018-11-25,SHREVEPORT LA,265
2018-11-25,SPRINGFIELD MO,183
2018-11-25,ST JOSEPH MO,86
2018-11-25,TULSA OK,103
2018-11-25,TYLER-LONGVIEW TX,528
2018-11-25,VICTORIA TX,90
2018-11-25,WACO-TEMPLE-BRYAN TX,165
2018-12-02,ABILENE-SWEETWATER TX,189
2018-12-02,ALEXANDRIA LA,200
2018-12-02,AMARILLO TX,354
2018-12-02,AUSTIN TX,180
2018-12-02,All Other Suddenlink DMA Total,670
2018-12-02,BLUEFIELD-BECKLEY-OAK HILL WV,259
2018-12-02,CHARLESTON-HUNTINGTON WV,510
2018-12-02,DALLAS-FT WORTH TX,411
2018-12-02,EUREKA CA,114
2018-12-02,GREENVILLE-NEW BERN-WASH NC,146
2018-12-02,HOUSTON TX,363
2018-12-02,JONESBORO AR,98
2018-12-02,LAKE CHARLES LA,185
2018-12-02,LITTLE ROCK AR,286
2018-12-02,LUBBOCK TX,337
2018-12-02,MONROE-EL DORADO LA-AR,97
2018-12-02,"NEW YORK, NY",11376
2018-12-02,ODESSA-MIDLAND TX,259
2018-12-02,OKLAHOMA CITY OK,208
2018-12-02,PARKERSBURG WV,190
2018-12-02,PHOENIX AZ,418
2018-12-02,RALEIGH-DURHAM NC,46
2018-12-02,SAN ANGELO TX,135
2018-12-02,SHREVEPORT LA,225
2018-12-02,SPRINGFIELD MO,159
2018-12-02,ST JOSEPH MO,109
2018-12-02,TULSA OK,97
2018-12-02,TYLER-LONGVIEW TX,438
2018-12-02,VICTORIA TX,83
2018-12-02,WACO-TEMPLE-BRYAN TX,153
2018-12-09,ABILENE-SWEETWATER TX,173
2018-12-09,ALEXANDRIA LA,173
2018-12-09,AMARILLO TX,289
2018-12-09,AUSTIN TX,171
2018-12-09,All Other Suddenlink DMA Total,542
2018-12-09,BLUEFIELD-BECKLEY-OAK HILL WV,182
2018-12-09,CHARLESTON-HUNTINGTON WV,449
2018-12-09,DALLAS-FT WORTH TX,444
2018-12-09,EUREKA CA,101
2018-12-09,GREENVILLE-NEW BERN-WASH NC,76
2018-12-09,HOUSTON TX,346
2018-12-09,JONESBORO AR,95
2018-12-09,LAKE CHARLES LA,203
2018-12-09,LITTLE ROCK AR,256
2018-12-09,LUBBOCK TX,306
2018-12-09,MONROE-EL DORADO LA-AR,112
2018-12-09,"NEW YORK, NY",10521
2018-12-09,ODESSA-MIDLAND TX,220
2018-12-09,OKLAHOMA CITY OK,182
2018-12-09,PARKERSBURG WV,142
2018-12-09,PHOENIX AZ,359
2018-12-09,RALEIGH-DURHAM NC,30
2018-12-09,SAN ANGELO TX,93
2018-12-09,SHREVEPORT LA,196
2018-12-09,SPRINGFIELD MO,145
2018-12-09,ST JOSEPH MO,74
2018-12-09,TULSA OK,72
2018-12-09,TYLER-LONGVIEW TX,407
2018-12-09,VICTORIA TX,65
2018-12-09,WACO-TEMPLE-BRYAN TX,127
2018-12-16,ABILENE-SWEETWATER TX,162
2018-12-16,ALEXANDRIA LA,216
2018-12-16,AMARILLO TX,269
2018-12-16,AUSTIN TX,172
2018-12-16,All Other Suddenlink DMA Total,635
2018-12-16,BLUEFIELD-BECKLEY-OAK HILL WV,196
2018-12-16,CHARLESTON-HUNTINGTON WV,442
2018-12-16,DALLAS-FT WORTH TX,415
2018-12-16,EUREKA CA,91
2018-12-16,GREENVILLE-NEW BERN-WASH NC,50
2018-12-16,HOUSTON TX,338
2018-12-16,JONESBORO AR,91
2018-12-16,LAKE CHARLES LA,174
2018-12-16,LITTLE ROCK AR,239
2018-12-16,LUBBOCK TX,285
2018-12-16,MONROE-EL DORADO LA-AR,107
2018-12-16,"NEW YORK, NY",10201
2018-12-16,ODESSA-MIDLAND TX,230
2018-12-16,OKLAHOMA CITY OK,194
2018-12-16,PARKERSBURG WV,128
2018-12-16,PHOENIX AZ,312
2018-12-16,RALEIGH-DURHAM NC,33
2018-12-16,SAN ANGELO TX,89
2018-12-16,SHREVEPORT LA,214
2018-12-16,SPRINGFIELD MO,186
2018-12-16,ST JOSEPH MO,75
2018-12-16,TULSA OK,93
2018-12-16,TYLER-LONGVIEW TX,405
2018-12-16,VICTORIA TX,61
2018-12-16,WACO-TEMPLE-BRYAN TX,157
2018-12-23,ABILENE-SWEETWATER TX,168
2018-12-23,ALEXANDRIA LA,178
2018-12-23,AMARILLO TX,246
2018-12-23,AUSTIN TX,152
2018-12-23,All Other Suddenlink DMA Total,528
2018-12-23,BLUEFIELD-BECKLEY-OAK HILL WV,160
2018-12-23,CHARLESTON-HUNTINGTON WV,367
2018-12-23,DALLAS-FT WORTH TX,390
2018-12-23,EUREKA CA,70
2018-12-23,GREENVILLE-NEW BERN-WASH NC,54
2018-12-23,HOUSTON TX,324
2018-12-23,JONESBORO AR,75
2018-12-23,LAKE CHARLES LA,155
2018-12-23,LITTLE ROCK AR,214
2018-12-23,LUBBOCK TX,270
2018-12-23,MONROE-EL DORADO LA-AR,114
2018-12-23,"NEW YORK, NY",9737
2018-12-23,ODESSA-MIDLAND TX,207
2018-12-23,OKLAHOMA CITY OK,173
2018-12-23,PARKERSBURG WV,128
2018-12-23,PHOENIX AZ,292
2018-12-23,RALEIGH-DURHAM NC,25
2018-12-23,SAN ANGELO TX,114
2018-12-23,SHREVEPORT LA,196
2018-12-23,SPRINGFIELD MO,116
2018-12-23,ST JOSEPH MO,69
2018-12-23,TULSA OK,73
2018-12-23,TYLER-LONGVIEW TX,386
2018-12-23,VICTORIA TX,76
2018-12-23,WACO-TEMPLE-BRYAN TX,123
2018-12-30,ABILENE-SWEETWATER TX,175
2018-12-30,ALEXANDRIA LA,228
2018-12-30,AMARILLO TX,271
2018-12-30,AUSTIN TX,172
2018-12-30,All Other Suddenlink DMA Total,608
2018-12-30,BLUEFIELD-BECKLEY-OAK HILL WV,229
2018-12-30,CHARLESTON-HUNTINGTON WV,493
2018-12-30,DALLAS-FT WORTH TX,397
2018-12-30,EUREKA CA,74
2018-12-30,GREENVILLE-NEW BERN-WASH NC,65
2018-12-30,HOUSTON TX,341
2018-12-30,JONESBORO AR,109
2018-12-30,LAKE CHARLES LA,173
2018-12-30,LITTLE ROCK AR,240
2018-12-30,LUBBOCK TX,305
2018-12-30,MONROE-EL DORADO LA-AR,109
2018-12-30,"NEW YORK, NY",9755
2018-12-30,ODESSA-MIDLAND TX,225
2018-12-30,OKLAHOMA CITY OK,191
2018-12-30,PARKERSBURG WV,127
2018-12-30,PHOENIX AZ,380
2018-12-30,RALEIGH-DURHAM NC,26
2018-12-30,SAN ANGELO TX,112
2018-12-30,SHREVEPORT LA,222
2018-12-30,SPRINGFIELD MO,142
2018-12-30,ST JOSEPH MO,69
2018-12-30,TULSA OK,111
2018-12-30,TYLER-LONGVIEW TX,404
2018-12-30,VICTORIA TX,62
2018-12-30,WACO-TEMPLE-BRYAN TX,144
2019-01-06,ABILENE-SWEETWATER TX,185
2019-01-06,ALEXANDRIA LA,226
2019-01-06,AMARILLO TX,299
2019-01-06,AUSTIN TX,156
2019-01-06,All Other Suddenlink DMA Total,732
2019-01-06,BLUEFIELD-BECKLEY-OAK HILL WV,276
2019-01-06,CHARLESTON-HUNTINGTON WV,483
2019-01-06,DALLAS-FT WORTH TX,407
2019-01-06,EUREKA CA,88
2019-01-06,GREENVILLE-NEW BERN-WASH NC,63
2019-01-06,HOUSTON TX,393
2019-01-06,JONESBORO AR,82
2019-01-06,LAKE CHARLES LA,220
2019-01-06,LITTLE ROCK AR,251
2019-01-06,LUBBOCK TX,341
2019-01-06,MONROE-EL DORADO LA-AR,139
2019-01-06,"NEW YORK, NY",10219
2019-01-06,ODESSA-MIDLAND TX,292
2019-01-06,OKLAHOMA CITY OK,220
2019-01-06,PARKERSBURG WV,163
2019-01-06,PHOENIX AZ,396
2019-01-06,RALEIGH-DURHAM NC,34
2019-01-06,SAN ANGELO TX,144
2019-01-06,SHREVEPORT LA,220
2019-01-06,SPRINGFIELD MO,156
2019-01-06,ST JOSEPH MO,76
2019-01-06,TULSA OK,109
2019-01-06,TYLER-LONGVIEW TX,459
2019-01-06,VICTORIA TX,68
2019-01-06,WACO-TEMPLE-BRYAN TX,168
2019-01-13,ABILENE-SWEETWATER TX,171
2019-01-13,ALEXANDRIA LA,280
2019-01-13,AMARILLO TX,345
2019-01-13,AUSTIN TX,164
2019-01-13,All Other Suddenlink DMA Total,654
2019-01-13,BLUEFIELD-BECKLEY-OAK HILL WV,238
2019-01-13,CHARLESTON-HUNTINGTON WV,472
2019-01-13,DALLAS-FT WORTH TX,452
2019-01-13,EUREKA CA,102
2019-01-13,GREENVILLE-NEW BERN-WASH NC,42
2019-01-13,HOUSTON TX,397
2019-01-13,JONESBORO AR,67
2019-01-13,LAKE CHARLES LA,187
2019-01-13,LITTLE ROCK AR,267
2019-01-13,LUBBOCK TX,379
2019-01-13,MONROE-EL DORADO LA-AR,123
2019-01-13,"NEW YORK, NY",9473
2019-01-13,ODESSA-MIDLAND TX,272
2019-01-13,OKLAHOMA CITY OK,212
2019-01-13,PARKERSBURG WV,128
2019-01-13,PHOENIX AZ,332
2019-01-13,RALEIGH-DURHAM NC,20
2019-01-13,SAN ANGELO TX,103
2019-01-13,SHREVEPORT LA,247
2019-01-13,SPRINGFIELD MO,142
2019-01-13,ST JOSEPH MO,80
2019-01-13,TULSA OK,85
2019-01-13,TYLER-LONGVIEW TX,441
2019-01-13,VICTORIA TX,69
2019-01-13,WACO-TEMPLE-BRYAN TX,200
2019-01-20,ABILENE-SWEETWATER TX,194
2019-01-20,ALEXANDRIA LA,207
2019-01-20,AMARILLO TX,291
2019-01-20,AUSTIN TX,180
2019-01-20,All Other Suddenlink DMA Total,650
2019-01-20,BLUEFIELD-BECKLEY-OAK HILL WV,212
2019-01-20,CHARLESTON-HUNTINGTON WV,411
2019-01-20,DALLAS-FT WORTH TX,437
2019-01-20,EUREKA CA,77
2019-01-20,GREENVILLE-NEW BERN-WASH NC,61
2019-01-20,HOUSTON TX,335
2019-01-20,JONESBORO AR,112
2019-01-20,LAKE CHARLES LA,211
2019-01-20,LITTLE ROCK AR,272
2019-01-20,LUBBOCK TX,358
2019-01-20,MONROE-EL DORADO LA-AR,125
2019-01-20,"NEW YORK, NY",9629
2019-01-20,ODESSA-MIDLAND TX,257
2019-01-20,OKLAHOMA CITY OK,196
2019-01-20,PARKERSBURG WV,148
2019-01-20,PHOENIX AZ,348
2019-01-20,RALEIGH-DURHAM NC,13
2019-01-20,SAN ANGELO TX,102
2019-01-20,SHREVEPORT LA,223
2019-01-20,SPRINGFIELD MO,150
2019-01-20,ST JOSEPH MO,55
2019-01-20,TULSA OK,65
2019-01-20,TYLER-LONGVIEW TX,459
2019-01-20,VICTORIA TX,61
2019-01-20,WACO-TEMPLE-BRYAN TX,150
2019-01-27,ABILENE-SWEETWATER TX,200
2019-01-27,ALEXANDRIA LA,253
2019-01-27,AMARILLO TX,222
2019-01-27,AUSTIN TX,165
2019-01-27,All Other Suddenlink DMA Total,576
2019-01-27,BLUEFIELD-BECKLEY-OAK HILL WV,200
2019-01-27,CHARLESTON-HUNTINGTON WV,446
2019-01-27,DALLAS-FT WORTH TX,414
2019-01-27,EUREKA CA,64
2019-01-27,GREENVILLE-NEW BERN-WASH NC,98
2019-01-27,HOUSTON TX,342
2019-01-27,JONESBORO AR,107
2019-01-27,LAKE CHARLES LA,203
2019-01-27,LITTLE ROCK AR,228
2019-01-27,LUBBOCK TX,291
2019-01-27,MONROE-EL DORADO LA-AR,102
2019-01-27,"NEW YORK, NY",10765
2019-01-27,ODESSA-MIDLAND TX,245
2019-01-27,OKLAHOMA CITY OK,191
2019-01-27,PARKERSBURG WV,116
2019-01-27,PHOENIX AZ,284
2019-01-27,RALEIGH-DURHAM NC,27
2019-01-27,SAN ANGELO TX,111
2019-01-27,SHREVEPORT LA,205
2019-01-27,SPRINGFIELD MO,170
2019-01-27,ST JOSEPH MO,84
2019-01-27,TULSA OK,86
2019-01-27,TYLER-LONGVIEW TX,399
2019-01-27,VICTORIA TX,63
2019-01-27,WACO-TEMPLE-BRYAN TX,134
2019-02-03,ABILENE-SWEETWATER TX,202
2019-02-03,ALEXANDRIA LA,218
2019-02-03,AMARILLO TX,255
2019-02-03,AUSTIN TX,173
2019-02-03,All Other Suddenlink DMA Total,722
2019-02-03,BLUEFIELD-BECKLEY-OAK HILL WV,200
2019-02-03,CHARLESTON-HUNTINGTON WV,572
2019-02-03,DALLAS-FT WORTH TX,514
2019-02-03,EUREKA CA,62
2019-02-03,GREENVILLE-NEW BERN-WASH NC,78
2019-02-03,HOUSTON TX,401
2019-02-03,JONESBORO AR,110
2019-02-03,LAKE CHARLES LA,216
2019-02-03,LITTLE ROCK AR,251
2019-02-03,LUBBOCK TX,324
2019-02-03,MONROE-EL DORADO LA-AR,130
2019-02-03,"NEW YORK, NY",9588
2019-02-03,ODESSA-MIDLAND TX,274
2019-02-03,OKLAHOMA CITY OK,225
2019-02-03,PARKERSBURG WV,209
2019-02-03,PHOENIX AZ,321
2019-02-03,RALEIGH-DURHAM NC,23
2019-02-03,SAN ANGELO TX,106
2019-02-03,SHREVEPORT LA,219
2019-02-03,SPRINGFIELD MO,157
2019-02-03,ST JOSEPH MO,100
2019-02-03,TULSA OK,82
2019-02-03,TYLER-LONGVIEW TX,439
2019-02-03,VICTORIA TX,78
2019-02-03,WACO-TEMPLE-BRYAN TX,152
2019-02-10,ABILENE-SWEETWATER TX,162
2019-02-10,ALEXANDRIA LA,223
2019-02-10,AMARILLO TX,276
2019-02-10,AUSTIN TX,141
2019-02-10,All Other Suddenlink DMA Total,627
2019-02-10,BLUEFIELD-BECKLEY-OAK HILL WV,179
2019-02-10,CHARLESTON-HUNTINGTON WV,490
2019-02-10,DALLAS-FT WORTH TX,444
2019-02-10,EUREKA CA,66
2019-02-10,GREENVILLE-NEW BERN-WASH NC,67
2019-02-10,HOUSTON TX,315
2019-02-10,JONESBORO AR,102
2019-02-10,LAKE CHARLES LA,203
2019-02-10,LITTLE ROCK AR,206
2019-02-10,LUBBOCK TX,273
2019-02-10,MONROE-EL DORADO LA-AR,122
2019-02-10,"NEW YORK, NY",8334
2019-02-10,ODESSA-MIDLAND TX,273
2019-02-10,OKLAHOMA CITY OK,203
2019-02-10,PARKERSBURG WV,131
2019-02-10,PHOENIX AZ,291
2019-02-10,RALEIGH-DURHAM NC,26
2019-02-10,SAN ANGELO TX,104
2019-02-10,SHREVEPORT LA,210
2019-02-10,SPRINGFIELD MO,149
2019-02-10,ST JOSEPH MO,83
2019-02-10,TULSA OK,81
2019-02-10,TYLER-LONGVIEW TX,336
2019-02-10,VICTORIA TX,71
2019-02-10,WACO-TEMPLE-BRYAN TX,140
2019-02-17,ABILENE-SWEETWATER TX,176
2019-02-17,ALEXANDRIA LA,209
2019-02-17,AMARILLO TX,266
2019-02-17,AUSTIN TX,167
2019-02-17,All Other Suddenlink DMA Total,569
2019-02-17,BLUEFIELD-BECKLEY-OAK HILL WV,196
2019-02-17,CHARLESTON-HUNTINGTON WV,446
2019-02-17,DALLAS-FT WORTH TX,468
2019-02-17,EUREKA CA,53
2019-02-17,GREENVILLE-NEW BERN-WASH NC,91
2019-02-17,HOUSTON TX,374
2019-02-17,JONESBORO AR,109
2019-02-17,LAKE CHARLES LA,226
2019-02-17,LITTLE ROCK AR,230
2019-02-17,LUBBOCK TX,329
2019-02-17,MONROE-EL DORADO LA-AR,137
2019-02-17,"NEW YORK, NY",9501
2019-02-17,ODESSA-MIDLAND TX,261
2019-02-17,OKLAHOMA CITY OK,194
2019-02-17,PARKERSBURG WV,123
2019-02-17,PHOENIX AZ,277
2019-02-17,RALEIGH-DURHAM NC,23
2019-02-17,SAN ANGELO TX,98
2019-02-17,SHREVEPORT LA,252
2019-02-17,SPRINGFIELD MO,169
2019-02-17,ST JOSEPH MO,75
2019-02-17,TULSA OK,81
2019-02-17,TYLER-LONGVIEW TX,436
2019-02-17,VICTORIA TX,76
2019-02-17,WACO-TEMPLE-BRYAN TX,163
2019-02-24,ABILENE-SWEETWATER TX,223
2019-02-24,ALEXANDRIA LA,327
2019-02-24,AMARILLO TX,355
2019-02-24,AUSTIN TX,164
2019-02-24,All Other Suddenlink DMA Total,790
2019-02-24,BLUEFIELD-BECKLEY-OAK HILL WV,225
2019-02-24,CHARLESTON-HUNTINGTON WV,561
2019-02-24,DALLAS-FT WORTH TX,535
2019-02-24,EUREKA CA,84
2019-02-24,GREENVILLE-NEW BERN-WASH NC,95
2019-02-24,HOUSTON TX,421
2019-02-24,JONESBORO AR,147
2019-02-24,LAKE CHARLES LA,303
2019-02-24,LITTLE ROCK AR,349
2019-02-24,LUBBOCK TX,367
2019-02-24,MONROE-EL DORADO LA-AR,151
2019-02-24,"NEW YORK, NY",11212
2019-02-24,ODESSA-MIDLAND TX,281
2019-02-24,OKLAHOMA CITY OK,226
2019-02-24,PARKERSBURG WV,145
2019-02-24,PHOENIX AZ,315
2019-02-24,RALEIGH-DURHAM NC,34
2019-02-24,SAN ANGELO TX,157
2019-02-24,SHREVEPORT LA,286
2019-02-24,SPRINGFIELD MO,189
2019-02-24,ST JOSEPH MO,109
2019-02-24,TULSA OK,119
2019-02-24,TYLER-LONGVIEW TX,530
2019-02-24,VICTORIA TX,91
2019-02-24,WACO-TEMPLE-BRYAN TX,209
2019-03-03,ABILENE-SWEETWATER TX,199
2019-03-03,ALEXANDRIA LA,290
2019-03-03,AMARILLO TX,298
2019-03-03,AUSTIN TX,167
2019-03-03,All Other Suddenlink DMA Total,754
2019-03-03,BLUEFIELD-BECKLEY-OAK HILL WV,265
2019-03-03,CHARLESTON-HUNTINGTON WV,525
2019-03-03,DALLAS-FT WORTH TX,445
2019-03-03,EUREKA CA,81
2019-03-03,GREENVILLE-NEW BERN-WASH NC,82
2019-03-03,HOUSTON TX,379
2019-03-03,JONESBORO AR,133
2019-03-03,LAKE CHARLES LA,255
2019-03-03,LITTLE ROCK AR,296
2019-03-03,LUBBOCK TX,362
2019-03-03,MONROE-EL DORADO LA-AR,130
2019-03-03,"NEW YORK, NY",10641
2019-03-03,ODESSA-MIDLAND TX,231
2019-03-03,OKLAHOMA CITY OK,229
2019-03-03,PARKERSBURG WV,164
2019-03-03,PHOENIX AZ,307
2019-03-03,RALEIGH-DURHAM NC,31
2019-03-03,SAN ANGELO TX,168
2019-03-03,SHREVEPORT LA,284
2019-03-03,SPRINGFIELD MO,177
2019-03-03,ST JOSEPH MO,97
2019-03-03,TULSA OK,105
2019-03-03,TYLER-LONGVIEW TX,444
2019-03-03,VICTORIA TX,96
2019-03-03,WACO-TEMPLE-BRYAN TX,153
2019-03-10,ABILENE-SWEETWATER TX,170
2019-03-10,ALEXANDRIA LA,252
2019-03-10,AMARILLO TX,294
2019-03-10,AUSTIN TX,126
2019-03-10,All Other Suddenlink DMA Total,573
2019-03-10,BLUEFIELD-BECKLEY-OAK HILL WV,188
2019-03-10,CHARLESTON-HUNTINGTON WV,391
2019-03-10,DALLAS-FT WORTH TX,426
2019-03-10,EUREKA CA,73
2019-03-10,GREENVILLE-NEW BERN-WASH NC,133
2019-03-10,HOUSTON TX,315
2019-03-10,JONESBORO AR,125
2019-03-10,LAKE CHARLES LA,174
2019-03-10,LITTLE ROCK AR,221
2019-03-10,LUBBOCK TX,356
2019-03-10,MONROE-EL DORADO LA-AR,98
2019-03-10,"NEW YORK, NY",9003
2019-03-10,ODESSA-MIDLAND TX,214
2019-03-10,OKLAHOMA CITY OK,166
2019-03-10,PARKERSBURG WV,111
2019-03-10,PHOENIX AZ,280
2019-03-10,RALEIGH-DURHAM NC,27
2019-03-10,SAN ANGELO TX,108
2019-03-10,SHREVEPORT LA,219
2019-03-10,SPRINGFIELD MO,142
2019-03-10,ST JOSEPH MO,85
2019-03-10,TULSA OK,69
2019-03-10,TYLER-LONGVIEW TX,387
2019-03-10,VICTORIA TX,48
2019-03-10,WACO-TEMPLE-BRYAN TX,130
2019-03-17,ABILENE-SWEETWATER TX,143
2019-03-17,ALEXANDRIA LA,210
2019-03-17,AMARILLO TX,271
2019-03-17,AUSTIN TX,155
2019-03-17,All Other Suddenlink DMA Total,559
2019-03-17,BLUEFIELD-BECKLEY-OAK HILL WV,201
2019-03-17,CHARLESTON-HUNTINGTON WV,450
2019-03-17,DALLAS-FT WORTH TX,388
2019-03-17,EUREKA CA,76
2019-03-17,GREENVILLE-NEW BERN-WASH NC,95
2019-03-17,HOUSTON TX,346
2019-03-17,JONESBORO AR,80
2019-03-17,LAKE CHARLES LA,182
2019-03-17,LITTLE ROCK AR,219
2019-03-17,LUBBOCK TX,348
2019-03-17,MONROE-EL DORADO LA-AR,97
2019-03-17,"NEW YORK, NY",9028
2019-03-17,ODESSA-MIDLAND TX,229
2019-03-17,OKLAHOMA CITY OK,156
2019-03-17,PARKERSBURG WV,113
2019-03-17,PHOENIX AZ,281
2019-03-17,RALEIGH-DURHAM NC,34
2019-03-17,SAN ANGELO TX,102
2019-03-17,SHREVEPORT LA,182
2019-03-17,SPRINGFIELD MO,145
2019-03-17,ST JOSEPH MO,64
2019-03-17,TULSA OK,69
2019-03-17,TYLER-LONGVIEW TX,385
2019-03-17,VICTORIA TX,71
2019-03-17,WACO-TEMPLE-BRYAN TX,126
2019-03-24,ABILENE-SWEETWATER TX,165
2019-03-24,ALEXANDRIA LA,249
2019-03-24,AMARILLO TX,286
2019-03-24,AUSTIN TX,149
2019-03-24,All Other Suddenlink DMA Total,648
2019-03-24,BLUEFIELD-BECKLEY-OAK HILL WV,197
2019-03-24,CHARLESTON-HUNTINGTON WV,381
2019-03-24,DALLAS-FT WORTH TX,386
2019-03-24,EUREKA CA,89
2019-03-24,GREENVILLE-NEW BERN-WASH NC,145
2019-03-24,HOUSTON TX,385
2019-03-24,JONESBORO AR,104
2019-03-24,LAKE CHARLES LA,169
2019-03-24,LITTLE ROCK AR,251
2019-03-24,LUBBOCK TX,340
2019-03-24,MONROE-EL DORADO LA-AR,106
2019-03-24,"NEW YORK, NY",10013
2019-03-24,ODESSA-MIDLAND TX,249
2019-03-24,OKLAHOMA CITY OK,176
2019-03-24,PARKERSBURG WV,114
2019-03-24,PHOENIX AZ,291
2019-03-24,RALEIGH-DURHAM NC,60
2019-03-24,SAN ANGELO TX,102
2019-03-24,SHREVEPORT LA,237
2019-03-24,SPRINGFIELD MO,163
2019-03-24,ST JOSEPH MO,89
2019-03-24,TULSA OK,86
2019-03-24,TYLER-LONGVIEW TX,452
2019-03-24,VICTORIA TX,72
2019-03-24,WACO-TEMPLE-BRYAN TX,159
2019-03-31,ABILENE-SWEETWATER TX,168
2019-03-31,ALEXANDRIA LA,229
2019-03-31,AMARILLO TX,281
2019-03-31,AUSTIN TX,229
2019-03-31,All Other Suddenlink DMA Total,655
2019-03-31,BLUEFIELD-BECKLEY-OAK HILL WV,176
2019-03-31,CHARLESTON-HUNTINGTON WV,433
2019-03-31,DALLAS-FT WORTH TX,401
2019-03-31,EUREKA CA,90
2019-03-31,GREENVILLE-NEW BERN-WASH NC,164
2019-03-31,HOUSTON TX,411
2019-03-31,JONESBORO AR,105
2019-03-31,LAKE CHARLES LA,145
2019-03-31,LITTLE ROCK AR,255
2019-03-31,LUBBOCK TX,321
2019-03-31,MONROE-EL DORADO LA-AR,86
2019-03-31,"NEW YORK, NY",9639
2019-03-31,ODESSA-MIDLAND TX,224
2019-03-31,OKLAHOMA CITY OK,161
2019-03-31,PARKERSBURG WV,155
2019-03-31,PHOENIX AZ,248
2019-03-31,RALEIGH-DURHAM NC,72
2019-03-31,SAN ANGELO TX,108
2019-03-31,SHREVEPORT LA,245
2019-03-31,SPRINGFIELD MO,183
2019-03-31,ST JOSEPH MO,72
2019-03-31,TULSA OK,75
2019-03-31,TYLER-LONGVIEW TX,435
2019-03-31,VICTORIA TX,78
2019-03-31,WACO-TEMPLE-BRYAN TX,157
2019-04-07,ABILENE-SWEETWATER TX,151
2019-04-07,ALEXANDRIA LA,197
2019-04-07,AMARILLO TX,263
2019-04-07,AUSTIN TX,187
2019-04-07,All Other Suddenlink DMA Total,591
2019-04-07,BLUEFIELD-BECKLEY-OAK HILL WV,164
2019-04-07,CHARLESTON-HUNTINGTON WV,379
2019-04-07,DALLAS-FT WORTH TX,361
2019-04-07,EUREKA CA,72
2019-04-07,GREENVILLE-NEW BERN-WASH NC,131
2019-04-07,HOUSTON TX,368
2019-04-07,JONESBORO AR,92
2019-04-07,LAKE CHARLES LA,159
2019-04-07,LITTLE ROCK AR,218
2019-04-07,LUBBOCK TX,282
2019-04-07,MONROE-EL DORADO LA-AR,97
2019-04-07,"NEW YORK, NY",8768
2019-04-07,ODESSA-MIDLAND TX,205
2019-04-07,OKLAHOMA CITY OK,143
2019-04-07,PARKERSBURG WV,119
2019-04-07,PHOENIX AZ,296
2019-04-07,RALEIGH-DURHAM NC,44
2019-04-07,SAN ANGELO TX,78
2019-04-07,SHREVEPORT LA,227
2019-04-07,SPRINGFIELD MO,132
2019-04-07,ST JOSEPH MO,54
2019-04-07,TULSA OK,78
2019-04-07,TYLER-LONGVIEW TX,387
2019-04-07,VICTORIA TX,72
2019-04-07,WACO-TEMPLE-BRYAN TX,144
2019-04-14,ABILENE-SWEETWATER TX,146
2019-04-14,ALEXANDRIA LA,197
2019-04-14,AMARILLO TX,278
2019-04-14,AUSTIN TX,182
2019-04-14,All Other Suddenlink DMA Total,620
2019-04-14,BLUEFIELD-BECKLEY-OAK HILL WV,172
2019-04-14,CHARLESTON-HUNTINGTON WV,370
2019-04-14,DALLAS-FT WORTH TX,383
2019-04-14,EUREKA CA,82
2019-04-14,GREENVILLE-NEW BERN-WASH NC,130
