period,mmm_b2c_acq_dma,unique_pageviews,users
2020-10-25,All Other Suddenlink DMA Total,2934.0,2628.0
2020-10-25,BLUEFIELD-BECKLEY-OAK HILL WV,770.0,699.0
2020-10-25,CHARLESTON-HUNTINGTON WV,1448.0,1323.0
2020-10-25,DALLAS-FT WORTH TX,2637.0,2347.0
2020-10-25,EUREKA CA,358.0,326.0
2020-10-25,GREENVILLE-NEW BERN-WASH NC,1357.0,1234.0
2020-10-25,HOUSTON TX,1994.0,1783.0
2020-10-25,JONESBORO AR,350.0,324.0
2020-10-25,LAKE CHARLES LA,748.0,681.0
2020-10-25,LITTLE ROCK AR,1359.0,1225.0
2020-10-25,LUBBOCK TX,918.0,819.0
2020-10-25,MONROE-EL DORADO LA-AR,358.0,316.0
2020-10-25,"NEW YORK, NY",28832.0,26155.0
2020-10-25,ODESSA-MIDLAND TX,558.0,502.0
2020-10-25,OKLAHOMA CITY OK,718.0,647.0
2020-10-25,PARKERSBURG WV,539.0,488.0
2020-10-25,PHOENIX AZ,1399.0,1257.0
2020-10-25,RALEIGH-DURHAM NC,429.0,388.0
2020-10-25,SAN ANGELO TX,427.0,379.0
2020-10-25,SHREVEPORT LA,813.0,742.0
2020-10-25,SPRINGFIELD MO,1063.0,935.0
2020-10-25,ST JOSEPH MO,264.0,242.0
2020-10-25,TULSA OK,239.0,219.0
2020-10-25,TYLER-LONGVIEW TX,1803.0,1616.0
2020-10-25,VICTORIA TX,275.0,238.0
2020-10-25,WACO-TEMPLE-BRYAN TX,696.0,633.0
2020-11-01,ABILENE-SWEETWATER TX,535.0,489.0
2020-11-01,ALEXANDRIA LA,567.0,511.0
2020-11-01,AMARILLO TX,750.0,693.0
2020-11-01,AUSTIN TX,1381.0,1224.0
2020-11-01,All Other Suddenlink DMA Total,3007.0,2648.0
2020-11-01,BLUEFIELD-BECKLEY-OAK HILL WV,808.0,740.0
2020-11-01,CHARLESTON-HUNTINGTON WV,1415.0,1280.0
2020-11-01,DALLAS-FT WORTH TX,2382.0,2151.0
2020-11-01,EUREKA CA,391.0,347.0
2020-11-01,GREENVILLE-NEW BERN-WASH NC,1475.0,1333.0
2020-11-01,HOUSTON TX,2050.0,1817.0
2020-11-01,JONESBORO AR,336.0,310.0
2020-11-01,LAKE CHARLES LA,675.0,600.0
2020-11-01,LITTLE ROCK AR,1232.0,1100.0
2020-11-01,LUBBOCK TX,904.0,817.0
2020-11-01,MONROE-EL DORADO LA-AR,308.0,281.0
2020-11-01,"NEW YORK, NY",28245.0,25510.0
2020-11-01,ODESSA-MIDLAND TX,567.0,520.0
2020-11-01,OKLAHOMA CITY OK,726.0,645.0
2020-11-01,PARKERSBURG WV,505.0,463.0
2020-11-01,PHOENIX AZ,1502.0,1325.0
2020-11-01,RALEIGH-DURHAM NC,448.0,400.0
2020-11-01,SAN ANGELO TX,392.0,367.0
2020-11-01,SHREVEPORT LA,811.0,732.0
2020-11-01,SPRINGFIELD MO,878.0,794.0
2020-11-01,ST JOSEPH MO,282.0,255.0
2020-11-01,TULSA OK,263.0,237.0
2020-11-01,TYLER-LONGVIEW TX,1732.0,1563.0
2020-11-01,VICTORIA TX,279.0,254.0
2020-11-01,WACO-TEMPLE-BRYAN TX,738.0,670.0
2020-11-08,ABILENE-SWEETWATER TX,666.0,580.0
2020-11-08,ALEXANDRIA LA,667.0,588.0
2020-11-08,AMARILLO TX,845.0,770.0
2020-11-08,AUSTIN TX,1452.0,1291.0
2020-11-08,All Other Suddenlink DMA Total,3097.0,2750.0
2020-11-08,BLUEFIELD-BECKLEY-OAK HILL WV,783.0,706.0
2020-11-08,CHARLESTON-HUNTINGTON WV,1458.0,1310.0
2020-11-08,DALLAS-FT WORTH TX,2837.0,2513.0
2020-11-08,EUREKA CA,380.0,332.0
2020-11-08,GREENVILLE-NEW BERN-WASH NC,1532.0,1364.0
2020-11-08,HOUSTON TX,2308.0,2079.0
2020-11-08,JONESBORO AR,362.0,329.0
2020-11-08,LAKE CHARLES LA,691.0,621.0
2020-11-08,LITTLE ROCK AR,1404.0,1270.0
2020-11-08,LUBBOCK TX,976.0,873.0
2020-11-08,MONROE-EL DORADO LA-AR,410.0,363.0
2020-11-08,"NEW YORK, NY",31362.0,28302.0
2020-11-08,ODESSA-MIDLAND TX,608.0,540.0
2020-11-08,OKLAHOMA CITY OK,823.0,725.0
2020-11-08,PARKERSBURG WV,522.0,459.0
2020-11-08,PHOENIX AZ,1577.0,1406.0
2020-11-08,RALEIGH-DURHAM NC,499.0,457.0
2020-11-08,SAN ANGELO TX,435.0,392.0
2020-11-08,SHREVEPORT LA,853.0,775.0
2020-11-08,SPRINGFIELD MO,1043.0,932.0
2020-11-08,ST JOSEPH MO,303.0,278.0
2020-11-08,TULSA OK,320.0,277.0
2020-11-08,TYLER-LONGVIEW TX,1857.0,1671.0
2020-11-08,VICTORIA TX,272.0,241.0
