dma_code,DMA Name,DMA Total HH,Total TV HH,Black TV HH,Hisp TV HH,TV HH w/child <18,Children Age 2-5,Children Age 6-11,Men Age 12-14,Men Age 15-17,Men Age 18-20,Men Age 21-24,Men Age 25-34,Men Age 35-44,Men Age 45-49,Men Age 50-54,Men Age 55-64,Men Age 65+,Women Age 12-14,Women Age 15-17,Women Age 18-20,Women Age 21-24,Women Age 25-34,Women Age 35-44,Women Age 45-49,Women Age 50-54,Women Age 55-64,Women Age 65+,Working Women,W25-49,W25-54,A25-54,A18-49,A25-49,A35-64,A35-54,M21-54,A55+,A25-64,W18-49,dma_name,mmm_b2b_acq_dma,mmm_b2c_acq_dma
581.0,TERRE HAUTE,145100,137610,3200,2380,37260,16844,25848,6827,6911,7036,8955,20177,19363,9811,10257,22887,30430,6447,6442,6579,8352,19511,19047,9834,10236,23330,36991,0,48392,58628,118236,128665,97743,124765,78548,68563,113638,164453,63323,TERRE HAUTE,OTHER,OTHER
547.0,TOLEDO,430000,416210,40820,23150,112920,48542,74427,19641,20255,21228,26876,63044,58629,28761,29884,66544,86556,18782,19310,20369,26017,62993,59744,29896,31172,70604,104457,0,152633,183805,364123,397557,303067,375234,238086,207194,328161,501271,199019,TOLEDO,OTHER,OTHER
605.0,TOPEKA,179400,171760,10820,14260,47380,22425,33414,8633,8573,10104,15602,27871,25117,10906,10691,24507,34594,8207,8166,9468,14248,26396,25115,11042,11029,26397,40725,0,62553,73582,148167,175869,126447,144804,93900,90187,126223,199071,86269,TOPEKA,OTHER,OTHER
540.0,TRAVERSE CITY-CADILLAC,264600,255970,2650,4690,59310,23993,37419,10089,10563,10925,13610,30895,30558,15657,17574,47574,73642,9543,10142,10523,13040,30372,30905,15878,17659,49422,78677,0,77155,94814,189498,202363,154265,225227,128231,108294,249315,286494,100718,TRAVERSE CITY-CADILLAC,OTHER,OTHER
531.0,"TRI-CITIES, TN-VA",330900,319970,7160,5850,79790,29384,47166,12864,13415,13261,16722,42991,41376,23148,25083,53617,78922,12271,12863,12938,16426,42213,42083,23951,26080,57228,93935,0,108247,134327,266925,275109,215762,292566,181721,149320,283702,377770,137611,"TRI-CITIES, TN-VA",OTHER,OTHER
789.0,TUCSON (SIERRA VISTA),467700,457790,19390,145530,120610,51795,79974,21059,21994,22790,32694,77064,64664,29801,29274,63409,113269,20197,21478,22359,32484,74064,65321,31560,31501,71581,134325,0,170945,202446,403249,452801,342474,387111,252121,233497,382584,538239,225788,TUCSON (SIERRA VISTA),OTHER,OTHER
671.0,TULSA,560200,549300,41080,36930,159600,72379,111015,29100,29128,28782,35028,86779,84869,39764,39541,83459,111947,27901,27926,27877,33809,87572,87554,41237,41278,89901,135982,0,216363,257641,508594,553271,427775,507603,334243,285981,421289,681954,278049,TULSA,"TULSA, OK",TULSA OK
760.0,TWIN FALLS,75700,73130,690,13600,23980,11733,18488,4926,4768,4338,5016,12251,12593,5717,5382,11393,15919,4806,4581,4186,4889,12104,12233,5524,5245,11668,17836,0,29861,35106,71049,78851,60422,69755,46694,40959,56816,94110,38936,TWIN FALLS,OTHER,OTHER
709.0,TYLER-LONGVIEW(LFKN&NCGD),289600,279770,45080,36870,83460,38838,59607,15697,15704,15360,19007,43459,40884,19541,19908,43185,63214,15072,15161,15154,19153,45486,43871,21101,21338,47024,75520,0,110458,131796,255588,283016,214342,256852,166643,142799,228943,345797,144765,TYLER-LONGVIEW(LFKN&NCGD),"TYLER-LONGVIEW, TX",TYLER-LONGVIEW TX
526.0,UTICA,111300,106650,5270,4710,26190,11227,17447,4589,4707,5382,6378,14380,13792,6803,7592,17838,25028,4479,4644,5501,6462,14508,14186,7085,7876,18839,30032,0,35779,43655,86222,94477,70754,94011,57334,48945,91737,122899,47742,UTICA,OTHER,OTHER
626.0,VICTORIA,34500,33090,2150,14140,10570,4869,7376,1917,1936,1873,2288,5642,5439,2304,2196,4871,6793,1842,1879,1857,2303,5762,5478,2450,2412,5297,8301,0,13690,16102,31683,35396,27075,30447,20279,17869,25262,41851,17850,VICTORIA,"VICTORIA, TX",VICTORIA TX
625.0,WACO-TEMPLE-BRYAN,417000,402470,69270,83610,125770,60728,88946,22514,22389,25781,41357,77353,65209,27728,26202,52696,68141,21597,21786,24969,39282,75795,67389,29392,28313,58333,82311,0,172576,200889,397381,474255,342866,355262,244233,237849,261481,508410,236827,WACO-TEMPLE-BRYAN,"WACO-TEMPLE, TX",WACO-TEMPLE-BRYAN TX
