period,mmm_b2c_acq_dma,gross_add_tot,gross_add_true
2017-11-05,PARKERSBURG WV,200,160
2017-11-05,PHOENIX AZ,551,482
2017-11-05,RALEIGH-DURHAM NC,132,115
2017-11-05,SAN ANGELO TX,214,162
2017-11-05,SHREVEPORT LA,245,200
2017-11-05,SPRINGFIELD MO,242,211
2017-11-05,ST JOSEPH MO,108,75
2017-11-05,TULSA OK,100,77
2017-11-05,TYLER-LONGVIEW TX,508,393
2017-11-05,VICTORIA TX,115,89
2017-11-05,WACO-TEMPLE-BRYAN TX,202,158
2017-11-12,ABILENE-SWEETWATER TX,305,223
2017-11-12,ALEXANDRIA LA,201,165
2017-11-12,AMARILLO TX,457,355
2017-11-12,AUSTIN TX,218,194
2017-11-12,All Other Suddenlink DMA Total,974,720
2017-11-12,BLUEFIELD-BECKLEY-OAK HILL WV,262,221
2017-11-12,CHARLESTON-HUNTINGTON WV,473,382
2017-11-12,DALLAS-FT WORTH TX,390,346
2017-11-12,EUREKA CA,118,91
2017-11-12,GREENVILLE-NEW BERN-WASH NC,408,334
2017-11-12,HOUSTON TX,376,330
2017-11-12,JONESBORO AR,163,131
2017-11-12,LAKE CHARLES LA,262,219
2017-11-12,LITTLE ROCK AR,277,219
2017-11-12,LUBBOCK TX,432,359
2017-11-12,MONROE-EL DORADO LA-AR,112,86
2017-11-12,ODESSA-MIDLAND TX,259,227
2017-11-12,OKLAHOMA CITY OK,251,197
2017-11-12,PARKERSBURG WV,133,104
2017-11-12,PHOENIX AZ,462,381
2017-11-12,RALEIGH-DURHAM NC,179,157
2017-11-12,SAN ANGELO TX,209,156
2017-11-12,SHREVEPORT LA,238,180
2017-11-12,SPRINGFIELD MO,221,183
2017-11-12,ST JOSEPH MO,132,104
2017-11-12,TULSA OK,104,86
2017-11-12,TYLER-LONGVIEW TX,481,383
2017-11-12,VICTORIA TX,113,76
2017-11-12,WACO-TEMPLE-BRYAN TX,233,189
2017-11-19,ABILENE-SWEETWATER TX,183,127
2017-11-19,ALEXANDRIA LA,144,110
2017-11-19,AMARILLO TX,324,226
2017-11-19,AUSTIN TX,170,142
2017-11-19,All Other Suddenlink DMA Total,679,459
2017-11-19,BLUEFIELD-BECKLEY-OAK HILL WV,148,118
2017-11-19,CHARLESTON-HUNTINGTON WV,334,262
2017-11-19,DALLAS-FT WORTH TX,301,261
2017-11-19,EUREKA CA,127,93
2017-11-19,GREENVILLE-NEW BERN-WASH NC,335,271
2017-11-19,HOUSTON TX,363,316
2017-11-19,JONESBORO AR,110,86
2017-11-19,LAKE CHARLES LA,196,163
2017-11-19,LITTLE ROCK AR,202,152
2017-11-19,LUBBOCK TX,315,249
2017-11-19,MONROE-EL DORADO LA-AR,71,60
2017-11-19,ODESSA-MIDLAND TX,176,152
2017-11-19,OKLAHOMA CITY OK,184,145
2017-11-19,PARKERSBURG WV,112,88
2017-11-19,PHOENIX AZ,350,294
2017-11-19,RALEIGH-DURHAM NC,73,58
2017-11-19,SAN ANGELO TX,136,96
2017-11-19,SHREVEPORT LA,174,140
2017-11-19,SPRINGFIELD MO,154,124
2017-11-19,ST JOSEPH MO,89,67
2017-11-19,TULSA OK,64,56
2017-11-19,TYLER-LONGVIEW TX,363,263
2017-11-19,VICTORIA TX,80,58
2017-11-19,WACO-TEMPLE-BRYAN TX,185,135
2017-11-26,ABILENE-SWEETWATER TX,270,186
2017-11-26,ALEXANDRIA LA,187,147
2017-11-26,AMARILLO TX,415,298
2017-11-26,AUSTIN TX,204,165
2017-11-26,All Other Suddenlink DMA Total,1004,741
2017-11-26,BLUEFIELD-BECKLEY-OAK HILL WV,251,191
2017-11-26,CHARLESTON-HUNTINGTON WV,427,333
2017-11-26,DALLAS-FT WORTH TX,403,342
2017-11-26,EUREKA CA,158,125
2017-11-26,GREENVILLE-NEW BERN-WASH NC,395,307
2017-11-26,HOUSTON TX,439,359
2017-11-26,JONESBORO AR,158,105
2017-11-26,LAKE CHARLES LA,266,212
2017-11-26,LITTLE ROCK AR,285,217
2017-11-26,LUBBOCK TX,420,308
2017-11-26,MONROE-EL DORADO LA-AR,125,103
2017-11-26,ODESSA-MIDLAND TX,255,215
2017-11-26,OKLAHOMA CITY OK,300,240
2017-11-26,PARKERSBURG WV,173,139
2017-11-26,PHOENIX AZ,565,459
2017-11-26,RALEIGH-DURHAM NC,133,117
2017-11-26,SAN ANGELO TX,226,160
2017-11-26,SHREVEPORT LA,254,198
2017-11-26,SPRINGFIELD MO,210,160
2017-11-26,ST JOSEPH MO,110,82
2017-11-26,TULSA OK,128,105
2017-11-26,TYLER-LONGVIEW TX,455,331
2017-11-26,VICTORIA TX,110,85
2017-11-26,WACO-TEMPLE-BRYAN TX,265,200
2017-12-03,ABILENE-SWEETWATER TX,318,235
2017-12-03,ALEXANDRIA LA,230,176
2017-12-03,AMARILLO TX,502,359
2017-12-03,AUSTIN TX,210,173
2017-12-03,All Other Suddenlink DMA Total,1138,826
2017-12-03,BLUEFIELD-BECKLEY-OAK HILL WV,199,162
2017-12-03,CHARLESTON-HUNTINGTON WV,534,411
2017-12-03,DALLAS-FT WORTH TX,436,367
2017-12-03,EUREKA CA,132,93
2017-12-03,GREENVILLE-NEW BERN-WASH NC,566,467
2017-12-03,HOUSTON TX,468,398
2017-12-03,JONESBORO AR,213,152
2017-12-03,LAKE CHARLES LA,290,240
2017-12-03,LITTLE ROCK AR,322,260
2017-12-03,LUBBOCK TX,359,295
2017-12-03,MONROE-EL DORADO LA-AR,131,110
2017-12-03,ODESSA-MIDLAND TX,246,210
2017-12-03,OKLAHOMA CITY OK,288,235
2017-12-03,PARKERSBURG WV,175,145
2017-12-03,PHOENIX AZ,615,510
2017-12-03,RALEIGH-DURHAM NC,178,158
2017-12-03,SAN ANGELO TX,243,191
2017-12-03,SHREVEPORT LA,286,232
2017-12-03,SPRINGFIELD MO,241,201
2017-12-03,ST JOSEPH MO,110,75
2017-12-03,TULSA OK,112,96
2017-12-03,TYLER-LONGVIEW TX,527,384
2017-12-03,VICTORIA TX,109,74
2017-12-03,WACO-TEMPLE-BRYAN TX,210,162
2017-12-10,ABILENE-SWEETWATER TX,267,204
2017-12-10,ALEXANDRIA LA,198,162
2017-12-10,AMARILLO TX,439,324
2017-12-10,AUSTIN TX,203,168
2017-12-10,All Other Suddenlink DMA Total,929,699
2017-12-10,BLUEFIELD-BECKLEY-OAK HILL WV,182,148
2017-12-10,CHARLESTON-HUNTINGTON WV,548,450
2017-12-10,DALLAS-FT WORTH TX,404,353
2017-12-10,EUREKA CA,160,133
2017-12-10,GREENVILLE-NEW BERN-WASH NC,451,361
2017-12-10,HOUSTON TX,428,360
2017-12-10,JONESBORO AR,185,149
2017-12-10,LAKE CHARLES LA,288,240
2017-12-10,LITTLE ROCK AR,269,204
2017-12-10,LUBBOCK TX,404,321
2017-12-10,MONROE-EL DORADO LA-AR,89,74
2017-12-10,ODESSA-MIDLAND TX,248,218
2017-12-10,OKLAHOMA CITY OK,238,184
2017-12-10,PARKERSBURG WV,209,173
2017-12-10,PHOENIX AZ,550,475
2017-12-10,RALEIGH-DURHAM NC,248,229
2017-12-10,SAN ANGELO TX,188,136
2017-12-10,SHREVEPORT LA,249,206
2017-12-10,SPRINGFIELD MO,259,210
2017-12-10,ST JOSEPH MO,126,90
2017-12-10,TULSA OK,100,83
2017-12-10,TYLER-LONGVIEW TX,500,375
2017-12-10,VICTORIA TX,101,71
2017-12-10,WACO-TEMPLE-BRYAN TX,205,156
2017-12-17,ABILENE-SWEETWATER TX,265,197
2017-12-17,ALEXANDRIA LA,195,155
2017-12-17,AMARILLO TX,473,363
2017-12-17,AUSTIN TX,220,194
2017-12-17,All Other Suddenlink DMA Total,955,687
2017-12-17,BLUEFIELD-BECKLEY-OAK HILL WV,135,115
2017-12-17,CHARLESTON-HUNTINGTON WV,450,363
2017-12-17,DALLAS-FT WORTH TX,356,308
2017-12-17,EUREKA CA,173,136
2017-12-17,GREENVILLE-NEW BERN-WASH NC,446,385
2017-12-17,HOUSTON TX,430,366
2017-12-17,JONESBORO AR,177,144
2017-12-17,LAKE CHARLES LA,243,195
2017-12-17,LITTLE ROCK AR,308,248
2017-12-17,LUBBOCK TX,449,364
2017-12-17,MONROE-EL DORADO LA-AR,101,83
2017-12-17,ODESSA-MIDLAND TX,225,199
2017-12-17,OKLAHOMA CITY OK,263,211
2017-12-17,PARKERSBURG WV,163,141
2017-12-17,PHOENIX AZ,514,425
2017-12-17,RALEIGH-DURHAM NC,241,221
2017-12-17,SAN ANGELO TX,179,129
2017-12-17,SHREVEPORT LA,246,195
2017-12-17,SPRINGFIELD MO,245,212
2017-12-17,ST JOSEPH MO,138,109
2017-12-17,TULSA OK,103,84
2017-12-17,TYLER-LONGVIEW TX,455,354
2017-12-17,VICTORIA TX,93,67
2017-12-17,WACO-TEMPLE-BRYAN TX,277,221
2017-12-24,ABILENE-SWEETWATER TX,236,177
2017-12-24,ALEXANDRIA LA,146,113
2017-12-24,AMARILLO TX,299,212
2017-12-24,AUSTIN TX,182,164
2017-12-24,All Other Suddenlink DMA Total,781,544
2017-12-24,BLUEFIELD-BECKLEY-OAK HILL WV,109,93
2017-12-24,CHARLESTON-HUNTINGTON WV,352,295
2017-12-24,DALLAS-FT WORTH TX,312,280
2017-12-24,EUREKA CA,130,104
2017-12-24,GREENVILLE-NEW BERN-WASH NC,402,340
2017-12-24,HOUSTON TX,328,269
2017-12-24,JONESBORO AR,108,82
2017-12-24,LAKE CHARLES LA,204,170
2017-12-24,LITTLE ROCK AR,226,188
2017-12-24,LUBBOCK TX,328,265
2017-12-24,MONROE-EL DORADO LA-AR,92,68
2017-12-24,ODESSA-MIDLAND TX,159,132
2017-12-24,OKLAHOMA CITY OK,212,171
2017-12-24,PARKERSBURG WV,77,61
2017-12-24,PHOENIX AZ,389,323
2017-12-24,RALEIGH-DURHAM NC,157,141
2017-12-24,SAN ANGELO TX,127,94
2017-12-24,SHREVEPORT LA,190,150
2017-12-24,SPRINGFIELD MO,185,160
2017-12-24,ST JOSEPH MO,86,69
2017-12-24,TULSA OK,90,72
2017-12-24,TYLER-LONGVIEW TX,404,305
2017-12-24,VICTORIA TX,76,52
2017-12-24,WACO-TEMPLE-BRYAN TX,220,162
2017-12-31,ABILENE-SWEETWATER TX,285,212
2017-12-31,ALEXANDRIA LA,153,124
2017-12-31,AMARILLO TX,420,311
2017-12-31,AUSTIN TX,205,187
2017-12-31,All Other Suddenlink DMA Total,1041,756
2017-12-31,BLUEFIELD-BECKLEY-OAK HILL WV,105,84
2017-12-31,CHARLESTON-HUNTINGTON WV,372,306
2017-12-31,DALLAS-FT WORTH TX,332,291
2017-12-31,EUREKA CA,152,113
2017-12-31,GREENVILLE-NEW BERN-WASH NC,293,237
2017-12-31,HOUSTON TX,375,319
2017-12-31,JONESBORO AR,134,100
2017-12-31,LAKE CHARLES LA,240,190
2017-12-31,LITTLE ROCK AR,240,198
2017-12-31,LUBBOCK TX,464,365
2017-12-31,MONROE-EL DORADO LA-AR,103,78
2017-12-31,ODESSA-MIDLAND TX,222,193
2017-12-31,OKLAHOMA CITY OK,258,201
2017-12-31,PARKERSBURG WV,151,129
2017-12-31,PHOENIX AZ,544,475
2017-12-31,RALEIGH-DURHAM NC,150,135
2017-12-31,SAN ANGELO TX,174,119
2017-12-31,SHREVEPORT LA,218,184
2017-12-31,SPRINGFIELD MO,178,153
2017-12-31,ST JOSEPH MO,101,76
2017-12-31,TULSA OK,114,85
2017-12-31,TYLER-LONGVIEW TX,460,344
2017-12-31,VICTORIA TX,92,72
2017-12-31,WACO-TEMPLE-BRYAN TX,263,219
2018-01-07,ABILENE-SWEETWATER TX,294,235
2018-01-07,ALEXANDRIA LA,208,179
2018-01-07,AMARILLO TX,432,320
2018-01-07,AUSTIN TX,240,212
2018-01-07,All Other Suddenlink DMA Total,1158,815
2018-01-07,BLUEFIELD-BECKLEY-OAK HILL WV,149,119
2018-01-07,CHARLESTON-HUNTINGTON WV,519,451
2018-01-07,DALLAS-FT WORTH TX,420,386
2018-01-07,EUREKA CA,193,157
2018-01-07,GREENVILLE-NEW BERN-WASH NC,468,402
2018-01-07,HOUSTON TX,367,318
2018-01-07,JONESBORO AR,146,105
2018-01-07,LAKE CHARLES LA,258,208
2018-01-07,LITTLE ROCK AR,281,232
2018-01-07,LUBBOCK TX,435,364
2018-01-07,MONROE-EL DORADO LA-AR,115,92
2018-01-07,ODESSA-MIDLAND TX,254,207
2018-01-07,OKLAHOMA CITY OK,322,252
2018-01-07,PARKERSBURG WV,126,101
2018-01-07,PHOENIX AZ,597,516
2018-01-07,RALEIGH-DURHAM NC,153,137
2018-01-07,SAN ANGELO TX,246,189
2018-01-07,SHREVEPORT LA,228,190
2018-01-07,SPRINGFIELD MO,222,180
2018-01-07,ST JOSEPH MO,124,94
2018-01-07,TULSA OK,92,80
2018-01-07,TYLER-LONGVIEW TX,520,424
2018-01-07,VICTORIA TX,103,79
2018-01-07,WACO-TEMPLE-BRYAN TX,309,251
2018-01-14,ABILENE-SWEETWATER TX,249,188
2018-01-14,ALEXANDRIA LA,162,137
2018-01-14,AMARILLO TX,434,336
2018-01-14,AUSTIN TX,167,149
2018-01-14,All Other Suddenlink DMA Total,1039,782
2018-01-14,BLUEFIELD-BECKLEY-OAK HILL WV,137,105
2018-01-14,CHARLESTON-HUNTINGTON WV,426,334
2018-01-14,DALLAS-FT WORTH TX,342,316
2018-01-14,EUREKA CA,202,160
2018-01-14,GREENVILLE-NEW BERN-WASH NC,370,316
2018-01-14,HOUSTON TX,291,244
2018-01-14,JONESBORO AR,163,129
2018-01-14,LAKE CHARLES LA,218,178
2018-01-14,LITTLE ROCK AR,275,217
2018-01-14,LUBBOCK TX,394,318
2018-01-14,MONROE-EL DORADO LA-AR,90,76
2018-01-14,ODESSA-MIDLAND TX,252,216
2018-01-14,OKLAHOMA CITY OK,303,250
2018-01-14,PARKERSBURG WV,118,97
2018-01-14,PHOENIX AZ,520,439
2018-01-14,RALEIGH-DURHAM NC,128,113
2018-01-14,SAN ANGELO TX,212,172
2018-01-14,SHREVEPORT LA,200,157
2018-01-14,SPRINGFIELD MO,166,139
2018-01-14,ST JOSEPH MO,93,75
2018-01-14,TULSA OK,78,58
2018-01-14,TYLER-LONGVIEW TX,431,348
2018-01-14,VICTORIA TX,83,66
2018-01-14,WACO-TEMPLE-BRYAN TX,230,195
2018-01-21,ABILENE-SWEETWATER TX,235,180
2018-01-21,ALEXANDRIA LA,176,147
2018-01-21,AMARILLO TX,394,297
2018-01-21,AUSTIN TX,141,127
2018-01-21,All Other Suddenlink DMA Total,907,606
2018-01-21,BLUEFIELD-BECKLEY-OAK HILL WV,186,152
2018-01-21,CHARLESTON-HUNTINGTON WV,538,425
2018-01-21,DALLAS-FT WORTH TX,349,290
2018-01-21,EUREKA CA,198,155
2018-01-21,GREENVILLE-NEW BERN-WASH NC,405,335
2018-01-21,HOUSTON TX,390,327
2018-01-21,JONESBORO AR,140,102
2018-01-21,LAKE CHARLES LA,252,204
2018-01-21,LITTLE ROCK AR,294,239
2018-01-21,LUBBOCK TX,368,283
2018-01-21,MONROE-EL DORADO LA-AR,114,94
2018-01-21,ODESSA-MIDLAND TX,251,220
2018-01-21,OKLAHOMA CITY OK,260,194
2018-01-21,PARKERSBURG WV,130,97
2018-01-21,PHOENIX AZ,448,368
2018-01-21,RALEIGH-DURHAM NC,204,185
2018-01-21,SAN ANGELO TX,249,195
2018-01-21,SHREVEPORT LA,232,190
2018-01-21,SPRINGFIELD MO,173,136
2018-01-21,ST JOSEPH MO,102,79
2018-01-21,TULSA OK,103,82
2018-01-21,TYLER-LONGVIEW TX,461,356
2018-01-21,VICTORIA TX,91,74
2018-01-21,WACO-TEMPLE-BRYAN TX,213,174
2018-01-28,ABILENE-SWEETWATER TX,290,201
2018-01-28,ALEXANDRIA LA,243,192
2018-01-28,AMARILLO TX,464,332
2018-01-28,AUSTIN TX,208,184
2018-01-28,All Other Suddenlink DMA Total,1043,669
2018-01-28,BLUEFIELD-BECKLEY-OAK HILL WV,196,149
2018-01-28,CHARLESTON-HUNTINGTON WV,517,420
2018-01-28,DALLAS-FT WORTH TX,370,316
2018-01-28,EUREKA CA,198,144
2018-01-28,GREENVILLE-NEW BERN-WASH NC,488,380
2018-01-28,HOUSTON TX,406,334
2018-01-28,JONESBORO AR,151,103
2018-01-28,LAKE CHARLES LA,321,238
2018-01-28,LITTLE ROCK AR,327,255
2018-01-28,LUBBOCK TX,439,308
2018-01-28,MONROE-EL DORADO LA-AR,131,110
2018-01-28,ODESSA-MIDLAND TX,282,234
2018-01-28,OKLAHOMA CITY OK,302,212
2018-01-28,PARKERSBURG WV,145,116
2018-01-28,PHOENIX AZ,571,455
2018-01-28,RALEIGH-DURHAM NC,201,186
2018-01-28,SAN ANGELO TX,244,173
2018-01-28,SHREVEPORT LA,256,186
2018-01-28,SPRINGFIELD MO,206,166
2018-01-28,ST JOSEPH MO,115,81
2018-01-28,TULSA OK,96,68
2018-01-28,TYLER-LONGVIEW TX,548,414
2018-01-28,VICTORIA TX,99,75
2018-01-28,WACO-TEMPLE-BRYAN TX,242,186
2018-02-04,ABILENE-SWEETWATER TX,255,181
2018-02-04,ALEXANDRIA LA,234,177
2018-02-04,AMARILLO TX,422,298
2018-02-04,AUSTIN TX,181,152
2018-02-04,All Other Suddenlink DMA Total,907,580
2018-02-04,BLUEFIELD-BECKLEY-OAK HILL WV,204,163
2018-02-04,CHARLESTON-HUNTINGTON WV,583,473
2018-02-04,DALLAS-FT WORTH TX,362,317
2018-02-04,EUREKA CA,145,116
2018-02-04,GREENVILLE-NEW BERN-WASH NC,393,323
2018-02-04,HOUSTON TX,392,334
2018-02-04,JONESBORO AR,198,147
2018-02-04,LAKE CHARLES LA,305,240
2018-02-04,LITTLE ROCK AR,325,260
2018-02-04,LUBBOCK TX,356,274
2018-02-04,MONROE-EL DORADO LA-AR,160,138
2018-02-04,ODESSA-MIDLAND TX,268,232
2018-02-04,OKLAHOMA CITY OK,261,200
2018-02-04,PARKERSBURG WV,111,92
2018-02-04,PHOENIX AZ,476,414
2018-02-04,RALEIGH-DURHAM NC,145,120
2018-02-04,SAN ANGELO TX,232,156
2018-02-04,SHREVEPORT LA,278,228
2018-02-04,SPRINGFIELD MO,185,158
2018-02-04,ST JOSEPH MO,116,79
2018-02-04,TULSA OK,84,64
2018-02-04,TYLER-LONGVIEW TX,492,375
2018-02-04,VICTORIA TX,110,81
2018-02-04,WACO-TEMPLE-BRYAN TX,217,178
2018-02-11,ABILENE-SWEETWATER TX,253,171
2018-02-11,ALEXANDRIA LA,210,168
2018-02-11,AMARILLO TX,386,278
2018-02-11,AUSTIN TX,193,170
2018-02-11,All Other Suddenlink DMA Total,881,592
2018-02-11,BLUEFIELD-BECKLEY-OAK HILL WV,191,158
2018-02-11,CHARLESTON-HUNTINGTON WV,466,382
2018-02-11,DALLAS-FT WORTH TX,366,326
2018-02-11,EUREKA CA,148,116
2018-02-11,GREENVILLE-NEW BERN-WASH NC,388,317
2018-02-11,HOUSTON TX,368,314
2018-02-11,JONESBORO AR,126,101
2018-02-11,LAKE CHARLES LA,249,199
2018-02-11,LITTLE ROCK AR,263,210
2018-02-11,LUBBOCK TX,357,286
2018-02-11,MONROE-EL DORADO LA-AR,117,102
2018-02-11,ODESSA-MIDLAND TX,217,188
2018-02-11,OKLAHOMA CITY OK,247,201
2018-02-11,PARKERSBURG WV,136,111
2018-02-11,PHOENIX AZ,472,399
2018-02-11,RALEIGH-DURHAM NC,121,100
2018-02-11,SAN ANGELO TX,203,157
2018-02-11,SHREVEPORT LA,226,181
2018-02-11,SPRINGFIELD MO,197,161
2018-02-11,ST JOSEPH MO,92,77
2018-02-11,TULSA OK,85,67
2018-02-11,TYLER-LONGVIEW TX,439,335
2018-02-11,VICTORIA TX,103,74
2018-02-11,WACO-TEMPLE-BRYAN TX,181,151
2018-02-18,ABILENE-SWEETWATER TX,246,176
2018-02-18,ALEXANDRIA LA,211,169
2018-02-18,AMARILLO TX,455,336
2018-02-18,AUSTIN TX,198,171
2018-02-18,All Other Suddenlink DMA Total,1122,628
2018-02-18,BLUEFIELD-BECKLEY-OAK HILL WV,221,186
2018-02-18,CHARLESTON-HUNTINGTON WV,549,470
2018-02-18,DALLAS-FT WORTH TX,357,308
2018-02-18,EUREKA CA,143,110
2018-02-18,GREENVILLE-NEW BERN-WASH NC,442,356
2018-02-18,HOUSTON TX,388,332
2018-02-18,JONESBORO AR,151,111
2018-02-18,LAKE CHARLES LA,278,221
2018-02-18,LITTLE ROCK AR,304,244
2018-02-18,LUBBOCK TX,432,326
2018-02-18,MONROE-EL DORADO LA-AR,125,101
2018-02-18,ODESSA-MIDLAND TX,239,195
2018-02-18,OKLAHOMA CITY OK,241,196
2018-02-18,PARKERSBURG WV,133,103
2018-02-18,PHOENIX AZ,392,326
2018-02-18,RALEIGH-DURHAM NC,142,122
2018-02-18,SAN ANGELO TX,208,138
2018-02-18,SHREVEPORT LA,254,208
2018-02-18,SPRINGFIELD MO,215,187
2018-02-18,ST JOSEPH MO,108,82
2018-02-18,TULSA OK,97,77
2018-02-18,TYLER-LONGVIEW TX,506,378
2018-02-18,VICTORIA TX,127,97
2018-02-18,WACO-TEMPLE-BRYAN TX,230,185
2018-02-25,ABILENE-SWEETWATER TX,386,288
2018-02-25,ALEXANDRIA LA,294,234
2018-02-25,AMARILLO TX,595,417
2018-02-25,AUSTIN TX,255,216
2018-02-25,All Other Suddenlink DMA Total,1369,851
2018-02-25,BLUEFIELD-BECKLEY-OAK HILL WV,282,247
2018-02-25,CHARLESTON-HUNTINGTON WV,714,579
2018-02-25,DALLAS-FT WORTH TX,527,460
2018-02-25,EUREKA CA,184,139
2018-02-25,GREENVILLE-NEW BERN-WASH NC,599,489
2018-02-25,HOUSTON TX,532,425
2018-02-25,JONESBORO AR,230,174
2018-02-25,LAKE CHARLES LA,382,309
2018-02-25,LITTLE ROCK AR,427,324
2018-02-25,LUBBOCK TX,579,440
2018-02-25,MONROE-EL DORADO LA-AR,185,149
2018-02-25,ODESSA-MIDLAND TX,312,264
2018-02-25,OKLAHOMA CITY OK,382,320
2018-02-25,PARKERSBURG WV,209,161
2018-02-25,PHOENIX AZ,608,469
2018-02-25,RALEIGH-DURHAM NC,224,186
2018-02-25,SAN ANGELO TX,305,206
2018-02-25,SHREVEPORT LA,382,307
2018-02-25,SPRINGFIELD MO,301,244
2018-02-25,ST JOSEPH MO,161,125
2018-02-25,TULSA OK,156,123
2018-02-25,TYLER-LONGVIEW TX,678,524
2018-02-25,VICTORIA TX,143,104
2018-02-25,WACO-TEMPLE-BRYAN TX,267,202
2018-03-04,ABILENE-SWEETWATER TX,347,255
2018-03-04,ALEXANDRIA LA,316,263
2018-03-04,AMARILLO TX,572,426
2018-03-04,AUSTIN TX,235,209
2018-03-04,All Other Suddenlink DMA Total,1243,872
2018-03-04,BLUEFIELD-BECKLEY-OAK HILL WV,225,177
2018-03-04,CHARLESTON-HUNTINGTON WV,645,539
2018-03-04,DALLAS-FT WORTH TX,469,409
2018-03-04,EUREKA CA,163,127
2018-03-04,GREENVILLE-NEW BERN-WASH NC,531,418
2018-03-04,HOUSTON TX,482,401
2018-03-04,JONESBORO AR,231,165
2018-03-04,LAKE CHARLES LA,372,298
2018-03-04,LITTLE ROCK AR,374,296
2018-03-04,LUBBOCK TX,506,399
2018-03-04,MONROE-EL DORADO LA-AR,204,170
2018-03-04,ODESSA-MIDLAND TX,292,245
2018-03-04,OKLAHOMA CITY OK,377,303
2018-03-04,PARKERSBURG WV,212,167
2018-03-04,PHOENIX AZ,517,436
2018-03-04,RALEIGH-DURHAM NC,173,148
2018-03-04,SAN ANGELO TX,274,209
2018-03-04,SHREVEPORT LA,363,305
2018-03-04,SPRINGFIELD MO,256,205
2018-03-04,ST JOSEPH MO,172,130
2018-03-04,TULSA OK,160,121
2018-03-04,TYLER-LONGVIEW TX,611,473
2018-03-04,VICTORIA TX,124,95
2018-03-04,WACO-TEMPLE-BRYAN TX,304,256
2018-03-11,ABILENE-SWEETWATER TX,298,210
2018-03-11,ALEXANDRIA LA,289,244
2018-03-11,AMARILLO TX,479,332
2018-03-11,AUSTIN TX,224,190
2018-03-11,All Other Suddenlink DMA Total,991,744
2018-03-11,BLUEFIELD-BECKLEY-OAK HILL WV,208,171
2018-03-11,CHARLESTON-HUNTINGTON WV,583,485
2018-03-11,DALLAS-FT WORTH TX,445,389
2018-03-11,EUREKA CA,142,110
2018-03-11,GREENVILLE-NEW BERN-WASH NC,434,333
2018-03-11,HOUSTON TX,487,404
2018-03-11,JONESBORO AR,216,165
2018-03-11,LAKE CHARLES LA,341,287
2018-03-11,LITTLE ROCK AR,338,270
2018-03-11,LUBBOCK TX,475,358
2018-03-11,MONROE-EL DORADO LA-AR,149,123
2018-03-11,ODESSA-MIDLAND TX,259,225
2018-03-11,OKLAHOMA CITY OK,256,196
2018-03-11,PARKERSBURG WV,172,145
2018-03-11,PHOENIX AZ,487,385
2018-03-11,RALEIGH-DURHAM NC,147,118
2018-03-11,SAN ANGELO TX,253,187
2018-03-11,SHREVEPORT LA,300,255
2018-03-11,SPRINGFIELD MO,241,207
2018-03-11,ST JOSEPH MO,111,84
2018-03-11,TULSA OK,122,91
2018-03-11,TYLER-LONGVIEW TX,654,492
2018-03-11,VICTORIA TX,113,82
2018-03-11,WACO-TEMPLE-BRYAN TX,263,202
2018-03-18,ABILENE-SWEETWATER TX,285,218
2018-03-18,ALEXANDRIA LA,274,230
2018-03-18,AMARILLO TX,491,365
2018-03-18,AUSTIN TX,139,126
2018-03-18,All Other Suddenlink DMA Total,895,652
2018-03-18,BLUEFIELD-BECKLEY-OAK HILL WV,216,180
2018-03-18,CHARLESTON-HUNTINGTON WV,508,416
2018-03-18,DALLAS-FT WORTH TX,389,348
2018-03-18,EUREKA CA,137,94
2018-03-18,GREENVILLE-NEW BERN-WASH NC,419,335
2018-03-18,HOUSTON TX,417,354
2018-03-18,JONESBORO AR,213,162
2018-03-18,LAKE CHARLES LA,273,217
2018-03-18,LITTLE ROCK AR,307,234
2018-03-18,LUBBOCK TX,395,310
2018-03-18,MONROE-EL DORADO LA-AR,120,94
2018-03-18,ODESSA-MIDLAND TX,275,231
2018-03-18,OKLAHOMA CITY OK,251,198
2018-03-18,PARKERSBURG WV,176,141
2018-03-18,PHOENIX AZ,485,394
2018-03-18,RALEIGH-DURHAM NC,145,123
2018-03-18,SAN ANGELO TX,244,187
2018-03-18,SHREVEPORT LA,275,231
2018-03-18,SPRINGFIELD MO,209,176
2018-03-18,ST JOSEPH MO,121,92
2018-03-18,TULSA OK,110,88
2018-03-18,TYLER-LONGVIEW TX,576,443
2018-03-18,VICTORIA TX,105,78
2018-03-18,WACO-TEMPLE-BRYAN TX,218,179
2018-03-25,ABILENE-SWEETWATER TX,264,164
2018-03-25,ALEXANDRIA LA,223,170
2018-03-25,AMARILLO TX,441,320
2018-03-25,AUSTIN TX,200,161
2018-03-25,All Other Suddenlink DMA Total,887,615
2018-03-25,BLUEFIELD-BECKLEY-OAK HILL WV,203,163
2018-03-25,CHARLESTON-HUNTINGTON WV,576,464
2018-03-25,DALLAS-FT WORTH TX,441,367
2018-03-25,EUREKA CA,160,123
2018-03-25,GREENVILLE-NEW BERN-WASH NC,477,362
2018-03-25,HOUSTON TX,478,393
2018-03-25,JONESBORO AR,181,121
2018-03-25,LAKE CHARLES LA,279,200
2018-03-25,LITTLE ROCK AR,324,237
2018-03-25,LUBBOCK TX,399,296
2018-03-25,MONROE-EL DORADO LA-AR,119,91
2018-03-25,ODESSA-MIDLAND TX,277,219
2018-03-25,OKLAHOMA CITY OK,276,208
