period,mmm_b2c_acq_dma,gross_add_tot,gross_add_true
2017-01-22,WACO-TEMPLE-BRYAN TX,194,147
2017-01-29,ABILENE-SWEETWATER TX,309,212
2017-01-29,ALEXANDRIA LA,259,197
2017-01-29,AMARILLO TX,490,346
2017-01-29,AUSTIN TX,185,145
2017-01-29,All Other Suddenlink DMA Total,917,637
2017-01-29,BLUEFIELD-BECKLEY-OAK HILL WV,197,158
2017-01-29,CHARLESTON-HUNTINGTON WV,559,447
2017-01-29,DALLAS-FT WORTH TX,460,393
2017-01-29,EUREKA CA,185,142
2017-01-29,GREENVILLE-NEW BERN-WASH NC,434,327
2017-01-29,HOUSTON TX,440,354
2017-01-29,JONESBORO AR,179,119
2017-01-29,LAKE CHARLES LA,292,214
2017-01-29,LITTLE ROCK AR,295,224
2017-01-29,LUBBOCK TX,441,335
2017-01-29,MONROE-EL DORADO LA-AR,142,114
2017-01-29,ODESSA-MIDLAND TX,265,208
2017-01-29,OKLAHOMA CITY OK,294,207
2017-01-29,PARKERSBURG WV,166,123
2017-01-29,PHOENIX AZ,543,421
2017-01-29,RALEIGH-DURHAM NC,126,103
2017-01-29,SAN ANGELO TX,289,207
2017-01-29,SHREVEPORT LA,310,226
2017-01-29,SPRINGFIELD MO,233,177
2017-01-29,ST JOSEPH MO,125,90
2017-01-29,TULSA OK,113,92
2017-01-29,TYLER-LONGVIEW TX,597,445
2017-01-29,VICTORIA TX,134,84
2017-01-29,WACO-TEMPLE-BRYAN TX,250,188
2017-02-05,ABILENE-SWEETWATER TX,303,230
2017-02-05,ALEXANDRIA LA,244,197
2017-02-05,AMARILLO TX,449,314
2017-02-05,AUSTIN TX,164,144
2017-02-05,All Other Suddenlink DMA Total,864,594
2017-02-05,BLUEFIELD-BECKLEY-OAK HILL WV,186,148
2017-02-05,CHARLESTON-HUNTINGTON WV,444,358
2017-02-05,DALLAS-FT WORTH TX,418,373
2017-02-05,EUREKA CA,176,141
2017-02-05,GREENVILLE-NEW BERN-WASH NC,409,320
2017-02-05,HOUSTON TX,379,320
2017-02-05,JONESBORO AR,141,100
2017-02-05,LAKE CHARLES LA,266,202
2017-02-05,LITTLE ROCK AR,316,252
2017-02-05,LUBBOCK TX,376,289
2017-02-05,MONROE-EL DORADO LA-AR,123,95
2017-02-05,ODESSA-MIDLAND TX,240,197
2017-02-05,OKLAHOMA CITY OK,260,201
2017-02-05,PARKERSBURG WV,133,100
2017-02-05,PHOENIX AZ,466,393
2017-02-05,RALEIGH-DURHAM NC,130,107
2017-02-05,SAN ANGELO TX,254,194
2017-02-05,SHREVEPORT LA,303,245
2017-02-05,SPRINGFIELD MO,210,161
2017-02-05,ST JOSEPH MO,115,92
2017-02-05,TULSA OK,104,78
2017-02-05,TYLER-LONGVIEW TX,464,357
2017-02-05,VICTORIA TX,113,89
2017-02-05,WACO-TEMPLE-BRYAN TX,203,153
2017-02-12,ABILENE-SWEETWATER TX,306,231
2017-02-12,ALEXANDRIA LA,220,178
2017-02-12,AMARILLO TX,425,289
2017-02-12,AUSTIN TX,179,154
2017-02-12,All Other Suddenlink DMA Total,752,520
2017-02-12,BLUEFIELD-BECKLEY-OAK HILL WV,180,154
2017-02-12,CHARLESTON-HUNTINGTON WV,454,365
2017-02-12,DALLAS-FT WORTH TX,387,345
2017-02-12,EUREKA CA,161,130
2017-02-12,GREENVILLE-NEW BERN-WASH NC,344,267
2017-02-12,HOUSTON TX,353,283
2017-02-12,JONESBORO AR,132,95
2017-02-12,LAKE CHARLES LA,270,224
2017-02-12,LITTLE ROCK AR,291,223
2017-02-12,LUBBOCK TX,359,286
2017-02-12,MONROE-EL DORADO LA-AR,110,87
2017-02-12,ODESSA-MIDLAND TX,220,176
2017-02-12,OKLAHOMA CITY OK,237,187
2017-02-12,PARKERSBURG WV,140,116
2017-02-12,PHOENIX AZ,443,368
2017-02-12,RALEIGH-DURHAM NC,97,82
2017-02-12,SAN ANGELO TX,233,176
2017-02-12,SHREVEPORT LA,243,202
2017-02-12,SPRINGFIELD MO,234,183
2017-02-12,ST JOSEPH MO,106,81
2017-02-12,TULSA OK,101,74
2017-02-12,TYLER-LONGVIEW TX,445,339
2017-02-12,VICTORIA TX,128,107
2017-02-12,WACO-TEMPLE-BRYAN TX,166,128
2017-02-19,ABILENE-SWEETWATER TX,300,222
2017-02-19,ALEXANDRIA LA,263,214
2017-02-19,AMARILLO TX,468,321
2017-02-19,AUSTIN TX,201,163
2017-02-19,All Other Suddenlink DMA Total,1130,665
2017-02-19,BLUEFIELD-BECKLEY-OAK HILL WV,171,139
2017-02-19,CHARLESTON-HUNTINGTON WV,493,382
2017-02-19,DALLAS-FT WORTH TX,430,386
2017-02-19,EUREKA CA,137,105
2017-02-19,GREENVILLE-NEW BERN-WASH NC,441,352
2017-02-19,HOUSTON TX,393,333
2017-02-19,JONESBORO AR,166,127
2017-02-19,LAKE CHARLES LA,245,199
2017-02-19,LITTLE ROCK AR,323,252
2017-02-19,LUBBOCK TX,384,311
2017-02-19,MONROE-EL DORADO LA-AR,113,85
2017-02-19,ODESSA-MIDLAND TX,255,198
2017-02-19,OKLAHOMA CITY OK,234,174
2017-02-19,PARKERSBURG WV,156,127
2017-02-19,PHOENIX AZ,429,329
2017-02-19,RALEIGH-DURHAM NC,111,95
2017-02-19,SAN ANGELO TX,251,195
2017-02-19,SHREVEPORT LA,300,249
2017-02-19,SPRINGFIELD MO,221,176
2017-02-19,ST JOSEPH MO,133,100
2017-02-19,TULSA OK,105,77
2017-02-19,TYLER-LONGVIEW TX,498,367
2017-02-19,VICTORIA TX,133,105
2017-02-19,WACO-TEMPLE-BRYAN TX,220,179
2017-02-26,ABILENE-SWEETWATER TX,477,353
2017-02-26,ALEXANDRIA LA,320,251
2017-02-26,AMARILLO TX,586,386
2017-02-26,AUSTIN TX,231,187
2017-02-26,All Other Suddenlink DMA Total,1449,959
2017-02-26,BLUEFIELD-BECKLEY-OAK HILL WV,249,194
