period_date,mmm_b2c_acq_dma,inbound_call_volume
2021-09-03,"NEW YORK, NY",807
2021-09-05,"NEW YORK, NY",387
2018-01-03,"NEW YORK, NY",1583
2018-01-28,"NEW YORK, NY",682
2018-01-16,"NEW YORK, NY",1389
2018-01-09,"NEW YORK, NY",1489
2018-01-30,"NEW YORK, NY",1682
2018-01-04,"NEW YORK, NY",762
2018-02-13,"NEW YORK, NY",1283
2018-02-14,"NEW YORK, NY",1138
2018-02-05,"NEW YORK, NY",1781
2018-02-25,"NEW YORK, NY",816
2018-03-29,"NEW YORK, NY",1605
2018-03-01,"NEW YORK, NY",1734
2018-03-23,"NEW YORK, NY",1541
2018-03-14,"NEW YORK, NY",1453
2018-03-05,"NEW YORK, NY",1813
2018-03-19,"NEW YORK, NY",1689
2018-03-24,"NEW YORK, NY",1083
2018-04-13,"NEW YORK, NY",1124
2018-04-23,"NEW YORK, NY",1576
2018-05-02,"NEW YORK, NY",1510
2018-05-08,"NEW YORK, NY",1586
2018-05-16,"NEW YORK, NY",1579
2018-06-11,"NEW YORK, NY",1777
2018-06-16,"NEW YORK, NY",831
2018-06-30,"NEW YORK, NY",1045
2018-06-03,"NEW YORK, NY",653
2018-07-09,"NEW YORK, NY",1872
2018-07-31,"NEW YORK, NY",1916
2018-07-05,"NEW YORK, NY",1832
2018-07-06,"NEW YORK, NY",1546
2018-07-16,"NEW YORK, NY",1587
2018-07-14,"NEW YORK, NY",849
2018-07-27,"NEW YORK, NY",1762
2018-08-28,"NEW YORK, NY",2255
2018-08-01,"NEW YORK, NY",2224
2018-08-10,"NEW YORK, NY",1630
2018-08-15,"NEW YORK, NY",1946
2018-08-19,"NEW YORK, NY",797
2018-09-04,"NEW YORK, NY",2651
2018-09-07,"NEW YORK, NY",1827
2018-09-21,"NEW YORK, NY",1696
2018-09-13,"NEW YORK, NY",1950
2018-09-11,"NEW YORK, NY",2037
2018-10-20,"NEW YORK, NY",905
2018-10-21,"NEW YORK, NY",710
2018-11-27,"NEW YORK, NY",2054
2018-11-13,"NEW YORK, NY",1552
2018-11-16,"NEW YORK, NY",1507
2018-11-02,"NEW YORK, NY",1568
2018-12-24,"NEW YORK, NY",1061
2018-12-10,"NEW YORK, NY",1961
2018-12-04,"NEW YORK, NY",1979
2018-12-23,"NEW YORK, NY",643
2019-01-29,"NEW YORK, NY",1797
2019-01-03,"NEW YORK, NY",2389
2019-01-28,"NEW YORK, NY",2034
2019-01-27,"NEW YORK, NY",691
2019-01-26,"NEW YORK, NY",1039
2019-01-05,"NEW YORK, NY",1303
2019-02-04,"NEW YORK, NY",1808
2019-03-07,"NEW YORK, NY",1769
2019-04-09,"NEW YORK, NY",1582
2019-04-30,"NEW YORK, NY",1540
2019-04-21,"NEW YORK, NY",399
2019-04-27,"NEW YORK, NY",906
2019-05-24,"NEW YORK, NY",1298
2019-05-08,"NEW YORK, NY",1395
2019-05-11,"NEW YORK, NY",674
2019-06-03,"NEW YORK, NY",1940
2019-06-05,"NEW YORK, NY",1684
2019-06-17,"NEW YORK, NY",1813
2019-06-02,"NEW YORK, NY",748
2019-07-27,"NEW YORK, NY",877
2019-07-18,"NEW YORK, NY",1500
2019-07-31,"NEW YORK, NY",1651
2019-07-11,"NEW YORK, NY",1532
2019-07-28,"NEW YORK, NY",608
2019-08-29,"NEW YORK, NY",1642
2019-08-09,"NEW YORK, NY",1634
2019-08-16,"NEW YORK, NY",1510
2019-10-07,"NEW YORK, NY",1663
2019-10-28,"NEW YORK, NY",1568
2019-10-11,"NEW YORK, NY",1280
2019-10-08,"NEW YORK, NY",1470
2019-10-30,"NEW YORK, NY",1427
2019-10-26,"NEW YORK, NY",705
2019-10-16,"NEW YORK, NY",1449
2019-10-27,"NEW YORK, NY",597
2019-11-06,"NEW YORK, NY",1403
2019-11-11,"NEW YORK, NY",1358
2019-11-23,"NEW YORK, NY",981
2019-12-17,"NEW YORK, NY",1902
2019-12-22,"NEW YORK, NY",685
2020-01-08,"NEW YORK, NY",1461
2020-01-09,"NEW YORK, NY",1327
2020-01-25,"NEW YORK, NY",936
2020-01-22,"NEW YORK, NY",1432
2020-01-05,"NEW YORK, NY",966
2020-02-03,"NEW YORK, NY",1669
2020-02-05,"NEW YORK, NY",1415
2020-02-25,"NEW YORK, NY",1432
2020-02-02,"NEW YORK, NY",590
2020-03-06,"NEW YORK, NY",1291
2020-04-03,"NEW YORK, NY",1096
2020-04-28,"NEW YORK, NY",1143
2020-04-21,"NEW YORK, NY",1148
2020-05-16,"NEW YORK, NY",884
2020-05-03,"NEW YORK, NY",584
2020-05-21,"NEW YORK, NY",1310
2020-05-18,"NEW YORK, NY",1370
2020-06-30,"NEW YORK, NY",1233
2020-06-16,"NEW YORK, NY",1266
2020-07-18,"NEW YORK, NY",810
2020-07-06,"NEW YORK, NY",1243
2020-07-03,"NEW YORK, NY",895
2020-07-26,"NEW YORK, NY",374
2020-07-16,"NEW YORK, NY",1158
2020-08-19,"NEW YORK, NY",1407
2020-08-02,"NEW YORK, NY",478
2020-08-15,"NEW YORK, NY",828
2020-08-30,"NEW YORK, NY",528
2020-09-22,"NEW YORK, NY",1743
2020-09-01,"NEW YORK, NY",1711
2020-09-09,"NEW YORK, NY",1396
2020-09-23,"NEW YORK, NY",1512
2020-09-20,"NEW YORK, NY",405
2020-10-12,"NEW YORK, NY",1363
2020-10-23,"NEW YORK, NY",1112
2020-10-19,"NEW YORK, NY",1539
2020-10-08,"NEW YORK, NY",1407
2020-10-31,"NEW YORK, NY",712
2020-10-09,"NEW YORK, NY",1283
2020-11-27,"NEW YORK, NY",1127
2020-11-23,"NEW YORK, NY",1495
2020-11-30,"NEW YORK, NY",1428
2020-12-30,"NEW YORK, NY",1164
2020-12-18,"NEW YORK, NY",1002
2021-01-30,"NEW YORK, NY",609
2021-01-23,"NEW YORK, NY",590
2021-01-16,"NEW YORK, NY",623
2021-02-19,"NEW YORK, NY",862
2021-02-23,"NEW YORK, NY",1196
2021-03-03,"NEW YORK, NY",1038
2021-03-30,"NEW YORK, NY",923
2021-03-20,"NEW YORK, NY",453
2021-03-15,"NEW YORK, NY",980
2021-04-12,"NEW YORK, NY",1163
2021-04-17,"NEW YORK, NY",343
2021-04-18,"NEW YORK, NY",166
2021-05-20,"NEW YORK, NY",617
2021-05-10,"NEW YORK, NY",915
2021-05-07,"NEW YORK, NY",635
2021-05-16,"NEW YORK, NY",164
2021-06-03,"NEW YORK, NY",562
2021-07-13,"NEW YORK, NY",651
2021-07-11,"NEW YORK, NY",192
2021-08-09,"NEW YORK, NY",1173
2021-08-01,"NEW YORK, NY",217
2021-08-05,"NEW YORK, NY",812
2021-08-31,"NEW YORK, NY",1051
2021-08-11,"NEW YORK, NY",953
2021-08-23,"NEW YORK, NY",936
2021-08-18,"NEW YORK, NY",788
2021-08-24,"NEW YORK, NY",1030
2021-08-07,"NEW YORK, NY",438
2021-09-07,"NEW YORK, NY",1146
2021-09-02,"NEW YORK, NY",915
2021-09-30,"NEW YORK, NY",526
2018-01-25,"NEW YORK, NY",1469
2018-01-02,"NEW YORK, NY",1253
2018-01-10,"NEW YORK, NY",1490
2018-01-29,"NEW YORK, NY",1830
2018-01-05,"NEW YORK, NY",1285
2018-02-16,"NEW YORK, NY",1174
2018-02-20,"NEW YORK, NY",1482
2018-02-07,"NEW YORK, NY",1502
2018-02-10,"NEW YORK, NY",903
2018-03-21,"NEW YORK, NY",595
2018-03-10,"NEW YORK, NY",1036
2018-03-30,"NEW YORK, NY",1442
2018-03-16,"NEW YORK, NY",1289
2018-03-06,"NEW YORK, NY",1568
2018-03-04,"NEW YORK, NY",652
2018-03-17,"NEW YORK, NY",772
2018-04-09,"NEW YORK, NY",1535
2018-04-30,"NEW YORK, NY",2000
2018-04-20,"NEW YORK, NY",1292
2018-04-19,"NEW YORK, NY",1404
2018-04-08,"NEW YORK, NY",589
2018-04-22,"NEW YORK, NY",595
2018-05-25,"NEW YORK, NY",1254
2018-05-11,"NEW YORK, NY",1189
2018-05-10,"NEW YORK, NY",1405
2018-05-04,"NEW YORK, NY",1217
2018-05-20,"NEW YORK, NY",572
2018-05-01,"NEW YORK, NY",1714
2018-06-14,"NEW YORK, NY",1377
2018-06-18,"NEW YORK, NY",1512
2018-07-03,"NEW YORK, NY",1706
2018-07-30,"NEW YORK, NY",2281
2018-07-20,"NEW YORK, NY",1366
2018-08-04,"NEW YORK, NY",1285
2018-08-23,"NEW YORK, NY",1967
2018-08-26,"NEW YORK, NY",858
2018-08-09,"NEW YORK, NY",1815
2018-09-05,"NEW YORK, NY",2272
2018-09-28,"NEW YORK, NY",1737
2018-09-23,"NEW YORK, NY",803
2018-09-22,"NEW YORK, NY",1124
2018-10-30,"NEW YORK, NY",1803
2018-10-15,"NEW YORK, NY",1941
2018-10-13,"NEW YORK, NY",880
2018-10-12,"NEW YORK, NY",1480
2018-10-23,"NEW YORK, NY",1626
2018-10-14,"NEW YORK, NY",606
2018-11-29,"NEW YORK, NY",1800
2018-11-24,"NEW YORK, NY",1402
2018-11-25,"NEW YORK, NY",874
2018-12-22,"NEW YORK, NY",1035
2018-12-08,"NEW YORK, NY",1273
2018-12-31,"NEW YORK, NY",955
2019-01-07,"NEW YORK, NY",1868
2019-01-11,"NEW YORK, NY",1590
2019-01-19,"NEW YORK, NY",947
2019-01-13,"NEW YORK, NY",637
2019-02-02,"NEW YORK, NY",1173
2019-02-24,"NEW YORK, NY",744
2019-03-01,"NEW YORK, NY",1822
2019-03-24,"NEW YORK, NY",612
2019-03-25,"NEW YORK, NY",1921
2019-03-26,"NEW YORK, NY",1843
2019-04-28,"NEW YORK, NY",698
2019-04-20,"NEW YORK, NY",893
2019-04-11,"NEW YORK, NY",1346
2019-04-02,"NEW YORK, NY",1514
2019-04-14,"NEW YORK, NY",531
2019-04-10,"NEW YORK, NY",1590
2019-04-06,"NEW YORK, NY",857
2019-05-05,"NEW YORK, NY",776
2019-05-23,"NEW YORK, NY",1466
2019-05-28,"NEW YORK, NY",1980
2019-05-26,"NEW YORK, NY",506
2019-06-20,"NEW YORK, NY",1443
2019-06-15,"NEW YORK, NY",827
2019-06-07,"NEW YORK, NY",1144
2019-07-30,"NEW YORK, NY",1907
2019-07-29,"NEW YORK, NY",1953
2019-07-20,"NEW YORK, NY",812
2019-07-24,"NEW YORK, NY",1607
2019-08-01,"NEW YORK, NY",1882
2019-08-30,"NEW YORK, NY",1623
2019-08-11,"NEW YORK, NY",668
2019-09-24,"NEW YORK, NY",1769
2019-09-27,"NEW YORK, NY",1342
2019-09-14,"NEW YORK, NY",1014
2019-10-09,"NEW YORK, NY",1481
2019-10-19,"NEW YORK, NY",696
2019-11-19,"NEW YORK, NY",1355
2019-11-24,"NEW YORK, NY",669
2019-11-30,"NEW YORK, NY",1028
2019-11-09,"NEW YORK, NY",979
2019-11-26,"NEW YORK, NY",1447
2019-12-14,"NEW YORK, NY",1130
2019-12-02,"NEW YORK, NY",1884
2019-12-26,"NEW YORK, NY",1931
2019-12-05,"NEW YORK, NY",1306
2019-12-09,"NEW YORK, NY",1671
2020-01-27,"NEW YORK, NY",1587
2020-01-12,"NEW YORK, NY",473
2020-01-23,"NEW YORK, NY",1261
2020-02-20,"NEW YORK, NY",1262
2020-02-27,"NEW YORK, NY",1521
2020-02-10,"NEW YORK, NY",1295
2020-02-22,"NEW YORK, NY",661
2020-02-15,"NEW YORK, NY",841
2020-03-11,"NEW YORK, NY",1514
2020-03-27,"NEW YORK, NY",1339
2020-03-12,"NEW YORK, NY",1586
2020-03-13,"NEW YORK, NY",1515
2020-04-05,"NEW YORK, NY",470
2020-04-08,"NEW YORK, NY",1105
2020-04-14,"NEW YORK, NY",960
2020-04-17,"NEW YORK, NY",1204
2020-04-18,"NEW YORK, NY",844
2020-04-20,"NEW YORK, NY",1094
2020-04-22,"NEW YORK, NY",1118
2020-04-09,"NEW YORK, NY",953
2020-05-04,"NEW YORK, NY",1067
2020-05-10,"NEW YORK, NY",449
2020-05-22,"NEW YORK, NY",1053
2020-05-09,"NEW YORK, NY",831
2020-05-31,"NEW YORK, NY",527
2020-06-19,"NEW YORK, NY",1087
2020-06-18,"NEW YORK, NY",953
2020-06-02,"NEW YORK, NY",1249
2020-06-21,"NEW YORK, NY",352
2020-07-22,"NEW YORK, NY",1201
2020-07-07,"NEW YORK, NY",1172
2020-07-05,"NEW YORK, NY",488
2020-08-13,"NEW YORK, NY",1398
2020-08-22,"NEW YORK, NY",830
2020-08-01,"NEW YORK, NY",770
2020-08-12,"NEW YORK, NY",1240
2020-08-23,"NEW YORK, NY",435
2020-09-26,"NEW YORK, NY",791
2020-09-02,"NEW YORK, NY",1793
2020-09-18,"NEW YORK, NY",1417
2020-09-15,"NEW YORK, NY",1522
2020-10-24,"NEW YORK, NY",683
2020-10-16,"NEW YORK, NY",1209
2020-11-20,"NEW YORK, NY",1145
2020-12-08,"NEW YORK, NY",1419
2020-12-17,"NEW YORK, NY",976
2020-12-16,"NEW YORK, NY",886
2020-12-31,"NEW YORK, NY",926
2021-01-02,"NEW YORK, NY",860
2021-01-07,"NEW YORK, NY",1200
2021-01-17,"NEW YORK, NY",400
2021-02-12,"NEW YORK, NY",830
2021-02-25,"NEW YORK, NY",999
2021-02-18,"NEW YORK, NY",970
2021-02-27,"NEW YORK, NY",529
2021-03-24,"NEW YORK, NY",873
2021-03-02,"NEW YORK, NY",1176
2021-03-27,"NEW YORK, NY",399
2021-04-19,"NEW YORK, NY",653
2021-04-25,"NEW YORK, NY",206
2021-05-26,"NEW YORK, NY",666
2021-05-18,"NEW YORK, NY",756
2021-05-21,"NEW YORK, NY",506
2021-05-01,"NEW YORK, NY",375
2021-05-22,"NEW YORK, NY",315
2021-06-23,"NEW YORK, NY",663
2021-06-06,"NEW YORK, NY",166
2021-07-08,"NEW YORK, NY",642
2021-07-10,"NEW YORK, NY",366
2021-07-29,"NEW YORK, NY",605
2021-07-18,"NEW YORK, NY",137
2021-07-24,"NEW YORK, NY",297
2021-07-20,"NEW YORK, NY",490
2021-07-26,"NEW YORK, NY",555
2021-08-29,"NEW YORK, NY",271
2021-08-10,"NEW YORK, NY",917
2021-08-20,"NEW YORK, NY",702
2021-09-25,"NEW YORK, NY",247
2018-01-08,"NEW YORK, NY",1586
2018-01-22,"NEW YORK, NY",1512
2018-02-01,"NEW YORK, NY",1612
2018-02-04,"NEW YORK, NY",664
2018-02-09,"NEW YORK, NY",1215
2018-02-08,"NEW YORK, NY",1466
2018-03-02,"NEW YORK, NY",1561
2018-03-07,"NEW YORK, NY",1192
2018-05-03,"NEW YORK, NY",1337
2018-05-30,"NEW YORK, NY",1896
2018-06-26,"NEW YORK, NY",1677
2018-06-10,"NEW YORK, NY",618
2018-07-29,"NEW YORK, NY",780
2018-07-07,"NEW YORK, NY",972
2018-07-15,"NEW YORK, NY",551
2018-07-08,"NEW YORK, NY",550
2018-08-13,"NEW YORK, NY",2172
2018-08-24,"NEW YORK, NY",1748
2018-08-25,"NEW YORK, NY",1273
2018-08-02,"NEW YORK, NY",2223
2018-08-07,"NEW YORK, NY",1913
2018-08-11,"NEW YORK, NY",1216
2018-09-03,"NEW YORK, NY",984
2018-09-19,"NEW YORK, NY",2007
2018-09-26,"NEW YORK, NY",1970
2018-09-01,"NEW YORK, NY",1430
2018-09-15,"NEW YORK, NY",1173
2018-10-02,"NEW YORK, NY",2131
2018-10-18,"NEW YORK, NY",1523
2018-10-19,"NEW YORK, NY",1048
2018-10-08,"NEW YORK, NY",1988
2018-10-01,"NEW YORK, NY",2227
2018-11-12,"NEW YORK, NY",1649
2018-11-03,"NEW YORK, NY",1156
2018-11-23,"NEW YORK, NY",1503
2018-11-11,"NEW YORK, NY",681
2018-12-03,"NEW YORK, NY",2388
2018-12-20,"NEW YORK, NY",1494
2018-12-21,"NEW YORK, NY",1501
2018-12-13,"NEW YORK, NY",1728
2018-12-01,"NEW YORK, NY",1270
2018-12-02,"NEW YORK, NY",483
2019-01-09,"NEW YORK, NY",1647
2019-01-30,"NEW YORK, NY",1758
2019-01-18,"NEW YORK, NY",1396
2019-01-08,"NEW YORK, NY",1711
2019-01-02,"NEW YORK, NY",2543
2019-02-28,"NEW YORK, NY",1970
2019-02-05,"NEW YORK, NY",1525
2019-02-12,"NEW YORK, NY",1445
2019-02-03,"NEW YORK, NY",689
2019-02-08,"NEW YORK, NY",1404
2019-03-04,"NEW YORK, NY",1854
2019-03-18,"NEW YORK, NY",1670
2019-03-28,"NEW YORK, NY",1669
2019-03-14,"NEW YORK, NY",1373
2019-04-22,"NEW YORK, NY",1628
2019-04-24,"NEW YORK, NY",1444
2019-04-15,"NEW YORK, NY",1614
2019-05-04,"NEW YORK, NY",1113
2019-05-22,"NEW YORK, NY",1437
2019-06-21,"NEW YORK, NY",1401
2019-06-27,"NEW YORK, NY",1443
2019-06-26,"NEW YORK, NY",1549
2019-06-16,"NEW YORK, NY",525
2019-07-02,"NEW YORK, NY",1847
2019-07-15,"NEW YORK, NY",1907
2019-07-13,"NEW YORK, NY",909
2019-09-25,"NEW YORK, NY",1582
2019-09-20,"NEW YORK, NY",1554
2019-09-26,"NEW YORK, NY",1512
2019-09-21,"NEW YORK, NY",902
2019-09-18,"NEW YORK, NY",1847
2019-09-12,"NEW YORK, NY",1455
2019-10-17,"NEW YORK, NY",1222
2019-10-14,"NEW YORK, NY",1498
2019-10-23,"NEW YORK, NY",1348
2019-11-25,"NEW YORK, NY",1547
2019-11-13,"NEW YORK, NY",1420
2019-11-05,"NEW YORK, NY",1577
2019-12-19,"NEW YORK, NY",1565
2019-12-16,"NEW YORK, NY",2129
2019-12-15,"NEW YORK, NY",853
2019-12-06,"NEW YORK, NY",1331
2019-12-27,"NEW YORK, NY",1641
2019-12-12,"NEW YORK, NY",1546
2019-12-24,"NEW YORK, NY",1084
2020-01-26,"NEW YORK, NY",565
2020-01-24,"NEW YORK, NY",1199
2020-01-17,"NEW YORK, NY",1037
2020-01-11,"NEW YORK, NY",781
2020-01-04,"NEW YORK, NY",1200
2020-02-12,"NEW YORK, NY",1118
2020-02-23,"NEW YORK, NY",538
2020-03-30,"NEW YORK, NY",1390
2020-03-07,"NEW YORK, NY",890
2020-03-21,"NEW YORK, NY",850
2020-03-05,"NEW YORK, NY",1315
2020-03-29,"NEW YORK, NY",604
2020-04-12,"NEW YORK, NY",459
2020-04-10,"NEW YORK, NY",984
2020-05-14,"NEW YORK, NY",1244
2020-05-23,"NEW YORK, NY",775
2020-06-11,"NEW YORK, NY",1067
2020-06-29,"NEW YORK, NY",1316
2020-06-01,"NEW YORK, NY",1664
2020-06-10,"NEW YORK, NY",1266
2020-06-27,"NEW YORK, NY",523
2020-06-09,"NEW YORK, NY",1209
2020-07-14,"NEW YORK, NY",1345
2020-07-20,"NEW YORK, NY",1367
2020-07-08,"NEW YORK, NY",1210
2020-07-25,"NEW YORK, NY",677
2020-07-19,"NEW YORK, NY",437
2020-08-31,"NEW YORK, NY",1828
2020-09-25,"NEW YORK, NY",1269
2020-09-10,"NEW YORK, NY",1778
2020-10-06,"NEW YORK, NY",1504
2020-10-05,"NEW YORK, NY",1552
2020-10-18,"NEW YORK, NY",449
2020-10-02,"NEW YORK, NY",1279
2020-11-02,"NEW YORK, NY",1568
2020-11-03,"NEW YORK, NY",1243
2020-12-03,"NEW YORK, NY",1211
2020-12-02,"NEW YORK, NY",1437
2020-12-28,"NEW YORK, NY",1131
2020-12-14,"NEW YORK, NY",1026
2020-12-23,"NEW YORK, NY",866
2021-01-05,"NEW YORK, NY",1298
2021-01-19,"NEW YORK, NY",1175
2021-01-14,"NEW YORK, NY",1140
2021-01-26,"NEW YORK, NY",1129
2021-01-31,"NEW YORK, NY",311
2021-01-09,"NEW YORK, NY",719
2021-01-04,"NEW YORK, NY",1352
2021-02-11,"NEW YORK, NY",865
2021-02-15,"NEW YORK, NY",972
2021-02-17,"NEW YORK, NY",1004
2021-02-20,"NEW YORK, NY",417
2021-02-16,"NEW YORK, NY",991
2021-02-14,"NEW YORK, NY",313
2021-03-05,"NEW YORK, NY",875
2021-03-31,"NEW YORK, NY",910
2021-04-08,"NEW YORK, NY",878
2021-04-03,"NEW YORK, NY",496
2021-05-13,"NEW YORK, NY",446
2021-05-03,"NEW YORK, NY",644
2021-05-24,"NEW YORK, NY",801
2021-05-27,"NEW YORK, NY",446
2021-05-15,"NEW YORK, NY",296
2021-06-07,"NEW YORK, NY",823
2021-06-10,"NEW YORK, NY",615
2021-06-18,"NEW YORK, NY",539
2021-07-17,"NEW YORK, NY",319
2021-07-23,"NEW YORK, NY",521
2021-07-28,"NEW YORK, NY",415
2021-07-14,"NEW YORK, NY",417
2021-07-31,"NEW YORK, NY",58
2021-09-22,"NEW YORK, NY",757
2021-09-12,"NEW YORK, NY",207
2018-01-13,"NEW YORK, NY",811
2018-01-15,"NEW YORK, NY",1270
2018-02-23,"NEW YORK, NY",1622
2018-02-03,"NEW YORK, NY",1107
2018-02-12,"NEW YORK, NY",1405
2018-02-21,"NEW YORK, NY",1353
2018-03-20,"NEW YORK, NY",1639
2018-03-28,"NEW YORK, NY",1638
2018-03-03,"NEW YORK, NY",1100
2018-03-08,"NEW YORK, NY",1231
2018-04-16,"NEW YORK, NY",1717
2018-04-18,"NEW YORK, NY",1406
2018-04-27,"NEW YORK, NY",1351
2018-04-17,"NEW YORK, NY",1324
2018-05-12,"NEW YORK, NY",810
2018-05-21,"NEW YORK, NY",1705
2018-05-28,"NEW YORK, NY",621
2018-05-07,"NEW YORK, NY",1641
2018-05-26,"NEW YORK, NY",717
2018-06-04,"NEW YORK, NY",1883
2018-06-07,"NEW YORK, NY",1482
2018-06-08,"NEW YORK, NY",1270
2018-06-27,"NEW YORK, NY",1711
2018-08-05,"NEW YORK, NY",771
2018-08-08,"NEW YORK, NY",1885
2018-08-21,"NEW YORK, NY",1974
2018-08-12,"NEW YORK, NY",763
2018-09-14,"NEW YORK, NY",1748
2018-09-16,"NEW YORK, NY",820
2018-09-24,"NEW YORK, NY",2156
2018-09-10,"NEW YORK, NY",2164
2018-10-04,"NEW YORK, NY",2143
2018-10-27,"NEW YORK, NY",975
2018-10-31,"NEW YORK, NY",1381
2018-10-29,"NEW YORK, NY",1902
2018-10-09,"NEW YORK, NY",1833
2018-11-26,"NEW YORK, NY",2367
2018-11-28,"NEW YORK, NY",1959
2018-11-17,"NEW YORK, NY",1024
2018-11-18,"NEW YORK, NY",659
2018-11-30,"NEW YORK, NY",1800
2018-11-01,"NEW YORK, NY",1485
2018-11-15,"NEW YORK, NY",1346
2018-12-15,"NEW YORK, NY",1171
2018-12-30,"NEW YORK, NY",709
2018-12-17,"NEW YORK, NY",1870
2018-12-29,"NEW YORK, NY",1264
2019-01-21,"NEW YORK, NY",1353
2019-01-16,"NEW YORK, NY",1579
2019-01-17,"NEW YORK, NY",1494
2019-01-12,"NEW YORK, NY",1033
2019-01-06,"NEW YORK, NY",698
2019-02-16,"NEW YORK, NY",965
2019-02-27,"NEW YORK, NY",1949
2019-02-23,"NEW YORK, NY",1110
2019-02-22,"NEW YORK, NY",1537
2019-02-20,"NEW YORK, NY",1464
2019-02-13,"NEW YORK, NY",1447
2019-03-16,"NEW YORK, NY",920
2019-03-02,"NEW YORK, NY",1160
2019-03-17,"NEW YORK, NY",584
2019-03-12,"NEW YORK, NY",1543
2019-03-11,"NEW YORK, NY",1717
2019-04-01,"NEW YORK, NY",1897
2019-05-21,"NEW YORK, NY",1544
2019-05-12,"NEW YORK, NY",246
2019-05-01,"NEW YORK, NY",1716
2019-05-09,"NEW YORK, NY",1404
2019-05-14,"NEW YORK, NY",1345
2019-05-15,"NEW YORK, NY",1347
2019-05-29,"NEW YORK, NY",1759
2019-06-06,"NEW YORK, NY",1497
2019-06-28,"NEW YORK, NY",1546
2019-06-14,"NEW YORK, NY",1295
2019-06-19,"NEW YORK, NY",1619
2019-06-18,"NEW YORK, NY",1654
2019-07-16,"NEW YORK, NY",1670
2019-07-09,"NEW YORK, NY",1678
2019-07-22,"NEW YORK, NY",1661
2019-08-04,"NEW YORK, NY",779
2019-08-26,"NEW YORK, NY",2074
2019-08-17,"NEW YORK, NY",1078
2019-08-08,"NEW YORK, NY",1940
2019-08-21,"NEW YORK, NY",1758
2019-08-06,"NEW YORK, NY",1865
2019-09-06,"NEW YORK, NY",1688
2019-09-17,"NEW YORK, NY",1840
2019-09-05,"NEW YORK, NY",1691
2019-10-15,"NEW YORK, NY",1431
2019-10-10,"NEW YORK, NY",1341
2019-10-03,"NEW YORK, NY",1493
2019-11-14,"NEW YORK, NY",1307
2019-11-02,"NEW YORK, NY",973
2019-11-10,"NEW YORK, NY",625
2019-11-03,"NEW YORK, NY",686
2019-12-07,"NEW YORK, NY",874
2019-12-30,"NEW YORK, NY",1775
2019-12-04,"NEW YORK, NY",1613
2019-12-29,"NEW YORK, NY",816
2020-01-02,"NEW YORK, NY",1809
2020-02-06,"NEW YORK, NY",1051
2020-02-14,"NEW YORK, NY",975
2020-02-09,"NEW YORK, NY",551
2020-02-04,"NEW YORK, NY",1199
2020-03-31,"NEW YORK, NY",1472
2020-03-28,"NEW YORK, NY",562
2020-03-16,"NEW YORK, NY",2427
2020-03-17,"NEW YORK, NY",2280
2020-03-03,"NEW YORK, NY",1401
2020-04-07,"NEW YORK, NY",942
2020-04-26,"NEW YORK, NY",559
2020-04-06,"NEW YORK, NY",1033
2020-05-07,"NEW YORK, NY",1004
2020-05-15,"NEW YORK, NY",1108
2020-05-02,"NEW YORK, NY",833
2020-06-28,"NEW YORK, NY",440
2020-06-23,"NEW YORK, NY",1083
2020-06-07,"NEW YORK, NY",439
2020-06-22,"NEW YORK, NY",1201
2020-06-03,"NEW YORK, NY",1111
2020-06-04,"NEW YORK, NY",1168
2020-07-11,"NEW YORK, NY",742
2020-07-17,"NEW YORK, NY",1176
2020-08-21,"NEW YORK, NY",1243
2020-08-27,"NEW YORK, NY",1529
2020-08-18,"NEW YORK, NY",1438
2020-08-20,"NEW YORK, NY",1443
2020-09-28,"NEW YORK, NY",1515
2020-09-19,"NEW YORK, NY",744
2020-09-29,"NEW YORK, NY",1591
2020-09-17,"NEW YORK, NY",1447
2020-09-11,"NEW YORK, NY",1416
2020-10-28,"NEW YORK, NY",1429
2020-10-25,"NEW YORK, NY",400
2020-11-21,"NEW YORK, NY",638
2020-11-16,"NEW YORK, NY",1444
2020-11-28,"NEW YORK, NY",777
2020-11-24,"NEW YORK, NY",1379
2020-11-13,"NEW YORK, NY",992
2020-12-29,"NEW YORK, NY",1263
2020-12-01,"NEW YORK, NY",1440
2021-01-15,"NEW YORK, NY",1023
2021-01-29,"NEW YORK, NY",836
2021-01-24,"NEW YORK, NY",331
2021-02-08,"NEW YORK, NY",1174
2021-02-10,"NEW YORK, NY",941
2021-02-06,"NEW YORK, NY",478
2021-02-03,"NEW YORK, NY",1069
2021-02-02,"NEW YORK, NY",949
2021-02-13,"NEW YORK, NY",512
2021-03-19,"NEW YORK, NY",862
2021-03-16,"NEW YORK, NY",924
2021-03-26,"NEW YORK, NY",687
2021-03-14,"NEW YORK, NY",268
2021-03-13,"NEW YORK, NY",543
2021-03-22,"NEW YORK, NY",997
2021-03-07,"NEW YORK, NY",283
2021-04-05,"NEW YORK, NY",1058
2021-04-10,"NEW YORK, NY",480
2021-05-11,"NEW YORK, NY",715
2021-05-29,"NEW YORK, NY",338
2021-05-09,"NEW YORK, NY",205
2021-06-02,"NEW YORK, NY",825
2021-06-19,"NEW YORK, NY",288
2021-08-04,"NEW YORK, NY",883
2021-08-19,"NEW YORK, NY",790
2021-08-27,"NEW YORK, NY",789
2021-09-14,"NEW YORK, NY",929
2021-09-17,"NEW YORK, NY",848
2021-09-19,"NEW YORK, NY",252
