period_date,mmm_b2c_acq_dma,inbound_call_volume
2021-08-08,"NEW YORK, NY",281
2021-08-02,"NEW YORK, NY",1008
2021-08-21,"NEW YORK, NY",450
2021-08-13,"NEW YORK, NY",525
2021-09-18,"NEW YORK, NY",446
2021-09-27,"NEW YORK, NY",875
2021-09-01,"NEW YORK, NY",846
2021-09-10,"NEW YORK, NY",918
2021-09-23,"NEW YORK, NY",662
2018-01-11,"NEW YORK, NY",1427
2018-01-20,"NEW YORK, NY",918
2018-01-19,"NEW YORK, NY",1185
2018-01-24,"NEW YORK, NY",1599
2018-01-31,"NEW YORK, NY",1574
2018-02-11,"NEW YORK, NY",609
2018-03-26,"NEW YORK, NY",1720
2018-03-25,"NEW YORK, NY",688
2018-04-24,"NEW YORK, NY",1548
2018-04-25,"NEW YORK, NY",1608
2018-04-11,"NEW YORK, NY",1321
2018-05-31,"NEW YORK, NY",1735
2018-05-14,"NEW YORK, NY",1648
2018-06-25,"NEW YORK, NY",1850
2018-06-05,"NEW YORK, NY",1684
2018-06-02,"NEW YORK, NY",1078
2018-06-15,"NEW YORK, NY",1321
2018-06-22,"NEW YORK, NY",1249
2018-06-12,"NEW YORK, NY",1438
2018-06-28,"NEW YORK, NY",1659
2018-07-21,"NEW YORK, NY",957
2018-07-23,"NEW YORK, NY",2056
2018-07-11,"NEW YORK, NY",1767
2018-08-30,"NEW YORK, NY",2205
2018-08-16,"NEW YORK, NY",1921
2018-09-20,"NEW YORK, NY",1846
2018-09-30,"NEW YORK, NY",865
2018-10-25,"NEW YORK, NY",1308
2018-10-24,"NEW YORK, NY",1624
2018-10-07,"NEW YORK, NY",803
2018-10-11,"NEW YORK, NY",1674
2018-11-06,"NEW YORK, NY",1638
2018-11-04,"NEW YORK, NY",701
2018-11-09,"NEW YORK, NY",1319
2018-11-05,"NEW YORK, NY",1998
2018-12-28,"NEW YORK, NY",2035
2018-12-19,"NEW YORK, NY",1793
2018-12-26,"NEW YORK, NY",2554
2018-12-05,"NEW YORK, NY",1880
2019-01-23,"NEW YORK, NY",1705
2019-01-22,"NEW YORK, NY",1792
2019-01-20,"NEW YORK, NY",624
2019-02-18,"NEW YORK, NY",1509
2019-02-17,"NEW YORK, NY",676
2019-02-25,"NEW YORK, NY",1954
2019-02-07,"NEW YORK, NY",1518
2019-02-01,"NEW YORK, NY",1625
2019-02-09,"NEW YORK, NY",1031
2019-02-15,"NEW YORK, NY",1139
2019-02-10,"NEW YORK, NY",694
2019-02-26,"NEW YORK, NY",1613
2019-02-11,"NEW YORK, NY",1556
2019-03-20,"NEW YORK, NY",1509
2019-03-19,"NEW YORK, NY",1490
2019-03-29,"NEW YORK, NY",1427
2019-03-22,"NEW YORK, NY",1334
2019-03-15,"NEW YORK, NY",1364
2019-04-26,"NEW YORK, NY",1240
2019-04-03,"NEW YORK, NY",1698
2019-05-16,"NEW YORK, NY",1262
2019-05-31,"NEW YORK, NY",1668
2019-06-22,"NEW YORK, NY",854
2019-07-19,"NEW YORK, NY",1374
2019-07-12,"NEW YORK, NY",1387
2019-07-05,"NEW YORK, NY",1634
2019-07-25,"NEW YORK, NY",1599
2019-08-10,"NEW YORK, NY",1058
2019-08-12,"NEW YORK, NY",2029
2019-08-28,"NEW YORK, NY",1823
2019-09-11,"NEW YORK, NY",1467
2019-09-30,"NEW YORK, NY",1827
2019-09-16,"NEW YORK, NY",1532
2019-09-29,"NEW YORK, NY",826
2019-10-24,"NEW YORK, NY",1297
2019-10-31,"NEW YORK, NY",1314
2019-10-06,"NEW YORK, NY",657
2019-10-05,"NEW YORK, NY",939
2019-11-29,"NEW YORK, NY",1441
2019-11-04,"NEW YORK, NY",1618
2019-11-20,"NEW YORK, NY",1394
2019-11-12,"NEW YORK, NY",1380
2019-12-13,"NEW YORK, NY",1549
2019-12-11,"NEW YORK, NY",1709
2019-12-23,"NEW YORK, NY",1803
2019-12-03,"NEW YORK, NY",1491
2019-12-28,"NEW YORK, NY",1070
2020-01-20,"NEW YORK, NY",1274
2020-01-29,"NEW YORK, NY",1569
2020-01-21,"NEW YORK, NY",1338
2020-01-07,"NEW YORK, NY",1524
2020-01-28,"NEW YORK, NY",1456
2020-02-17,"NEW YORK, NY",1181
2020-02-16,"NEW YORK, NY",583
2020-03-19,"NEW YORK, NY",1904
2020-03-25,"NEW YORK, NY",1720
2020-03-23,"NEW YORK, NY",2031
2020-03-09,"NEW YORK, NY",1493
2020-03-15,"NEW YORK, NY",784
2020-03-22,"NEW YORK, NY",715
2020-03-14,"NEW YORK, NY",1054
2020-04-29,"NEW YORK, NY",1155
2020-04-27,"NEW YORK, NY",1416
2020-04-16,"NEW YORK, NY",1274
2020-04-04,"NEW YORK, NY",618
2020-05-19,"NEW YORK, NY",1236
2020-05-24,"NEW YORK, NY",541
2020-06-14,"NEW YORK, NY",413
2020-06-06,"NEW YORK, NY",677
2020-07-24,"NEW YORK, NY",1107
2020-07-10,"NEW YORK, NY",1237
2020-08-29,"NEW YORK, NY",911
2020-08-03,"NEW YORK, NY",1511
2020-08-11,"NEW YORK, NY",1428
2020-08-26,"NEW YORK, NY",1577
2020-08-10,"NEW YORK, NY",1583
2020-08-25,"NEW YORK, NY",1629
2020-08-16,"NEW YORK, NY",475
2020-08-04,"NEW YORK, NY",1177
2020-09-30,"NEW YORK, NY",1458
2020-09-14,"NEW YORK, NY",1731
2020-10-29,"NEW YORK, NY",1247
2020-10-07,"NEW YORK, NY",1497
2020-10-26,"NEW YORK, NY",1474
2020-10-13,"NEW YORK, NY",1480
2020-10-14,"NEW YORK, NY",1241
2020-11-11,"NEW YORK, NY",1240
2020-11-25,"NEW YORK, NY",1235
2020-11-04,"NEW YORK, NY",1248
2020-11-12,"NEW YORK, NY",1132
2020-11-14,"NEW YORK, NY",659
2020-11-15,"NEW YORK, NY",455
2020-11-29,"NEW YORK, NY",544
2020-12-09,"NEW YORK, NY",1374
2020-12-27,"NEW YORK, NY",378
2020-12-10,"NEW YORK, NY",1141
2020-12-13,"NEW YORK, NY",390
2021-01-06,"NEW YORK, NY",1297
2021-01-18,"NEW YORK, NY",1119
2021-01-27,"NEW YORK, NY",1115
2021-02-04,"NEW YORK, NY",934
2021-02-05,"NEW YORK, NY",999
2021-02-21,"NEW YORK, NY",316
2021-03-01,"NEW YORK, NY",1339
2021-03-04,"NEW YORK, NY",819
2021-03-17,"NEW YORK, NY",1050
2021-03-18,"NEW YORK, NY",1061
2021-03-09,"NEW YORK, NY",1077
2021-03-11,"NEW YORK, NY",807
2021-04-11,"NEW YORK, NY",350
2021-04-15,"NEW YORK, NY",413
2021-04-26,"NEW YORK, NY",575
2021-04-07,"NEW YORK, NY",926
2021-04-20,"NEW YORK, NY",360
2021-04-29,"NEW YORK, NY",593
2021-04-27,"NEW YORK, NY",728
2021-04-16,"NEW YORK, NY",378
2021-05-25,"NEW YORK, NY",668
2021-05-30,"NEW YORK, NY",248
2021-05-23,"NEW YORK, NY",161
2021-06-21,"NEW YORK, NY",810
2021-06-27,"NEW YORK, NY",194
2021-06-11,"NEW YORK, NY",504
2021-07-03,"NEW YORK, NY",332
2021-07-05,"NEW YORK, NY",542
2021-07-19,"NEW YORK, NY",806
2021-08-30,"NEW YORK, NY",1177
2021-09-08,"NEW YORK, NY",998
2021-09-24,"NEW YORK, NY",369
2021-09-16,"NEW YORK, NY",827
2021-09-15,"NEW YORK, NY",848
2018-01-26,"NEW YORK, NY",1338
2018-01-17,"NEW YORK, NY",1502
2018-02-26,"NEW YORK, NY",1871
2018-03-13,"NEW YORK, NY",1519
2018-03-12,"NEW YORK, NY",1640
2018-04-21,"NEW YORK, NY",851
2018-04-07,"NEW YORK, NY",912
2018-04-02,"NEW YORK, NY",1825
2018-04-14,"NEW YORK, NY",752
2018-04-06,"NEW YORK, NY",1306
2018-04-15,"NEW YORK, NY",589
2018-04-29,"NEW YORK, NY",649
2018-05-05,"NEW YORK, NY",792
2018-05-15,"NEW YORK, NY",1429
2018-05-09,"NEW YORK, NY",1482
2018-05-19,"NEW YORK, NY",943
2018-06-06,"NEW YORK, NY",1600
2018-07-17,"NEW YORK, NY",1274
2018-07-28,"NEW YORK, NY",1336
2018-07-25,"NEW YORK, NY",2067
2018-08-06,"NEW YORK, NY",2117
2018-08-31,"NEW YORK, NY",1938
2018-08-17,"NEW YORK, NY",1765
2018-09-09,"NEW YORK, NY",621
2018-09-27,"NEW YORK, NY",1854
2018-10-22,"NEW YORK, NY",1844
2018-10-16,"NEW YORK, NY",1630
2018-10-06,"NEW YORK, NY",1222
2018-12-16,"NEW YORK, NY",730
2018-12-14,"NEW YORK, NY",1594
2018-12-11,"NEW YORK, NY",1685
2018-12-06,"NEW YORK, NY",1709
2019-01-31,"NEW YORK, NY",1687
2019-01-24,"NEW YORK, NY",1682
2019-03-05,"NEW YORK, NY",1889
2019-03-27,"NEW YORK, NY",1597
2019-03-30,"NEW YORK, NY",944
2019-03-09,"NEW YORK, NY",1069
2019-04-17,"NEW YORK, NY",1416
2019-04-19,"NEW YORK, NY",1144
2019-04-18,"NEW YORK, NY",1305
2019-05-27,"NEW YORK, NY",544
2019-05-20,"NEW YORK, NY",1586
2019-05-13,"NEW YORK, NY",1773
2019-05-07,"NEW YORK, NY",1424
2019-05-10,"NEW YORK, NY",1200
2019-05-03,"NEW YORK, NY",1616
2019-05-19,"NEW YORK, NY",556
2019-06-23,"NEW YORK, NY",553
2019-06-25,"NEW YORK, NY",1663
2019-06-08,"NEW YORK, NY",802
2019-07-07,"NEW YORK, NY",610
2019-07-17,"NEW YORK, NY",1526
2019-07-06,"NEW YORK, NY",1019
2019-07-10,"NEW YORK, NY",1644
2019-07-08,"NEW YORK, NY",2038
2019-07-21,"NEW YORK, NY",595
2019-07-23,"NEW YORK, NY",1689
2019-08-13,"NEW YORK, NY",1823
2019-08-31,"NEW YORK, NY",1129
2019-08-20,"NEW YORK, NY",1825
2019-08-05,"NEW YORK, NY",2124
2019-08-22,"NEW YORK, NY",1529
2019-09-09,"NEW YORK, NY",1790
2019-09-28,"NEW YORK, NY",1030
2019-09-13,"NEW YORK, NY",1340
2019-10-25,"NEW YORK, NY",1183
2019-11-15,"NEW YORK, NY",1148
2019-11-22,"NEW YORK, NY",1274
2019-11-07,"NEW YORK, NY",1391
2019-12-18,"NEW YORK, NY",1439
2019-12-01,"NEW YORK, NY",857
2019-12-21,"NEW YORK, NY",1001
2019-12-10,"NEW YORK, NY",1525
2020-01-14,"NEW YORK, NY",1342
2020-01-15,"NEW YORK, NY",1309
2020-01-03,"NEW YORK, NY",1623
2020-01-10,"NEW YORK, NY",1274
2020-02-19,"NEW YORK, NY",1144
2020-02-21,"NEW YORK, NY",1117
2020-02-28,"NEW YORK, NY",1314
2020-02-24,"NEW YORK, NY",1108
2020-03-10,"NEW YORK, NY",1464
2020-03-24,"NEW YORK, NY",1890
2020-03-04,"NEW YORK, NY",1432
2020-03-18,"NEW YORK, NY",2652
2020-03-26,"NEW YORK, NY",1592
2020-03-01,"NEW YORK, NY",710
2020-04-13,"NEW YORK, NY",945
2020-04-02,"NEW YORK, NY",1306
2020-04-01,"NEW YORK, NY",1139
2020-04-25,"NEW YORK, NY",866
2020-05-11,"NEW YORK, NY",1245
2020-05-05,"NEW YORK, NY",1127
2020-05-13,"NEW YORK, NY",1103
2020-05-20,"NEW YORK, NY",1063
2020-05-25,"NEW YORK, NY",741
2020-05-12,"NEW YORK, NY",1175
2020-06-05,"NEW YORK, NY",960
2020-06-15,"NEW YORK, NY",1339
2020-06-13,"NEW YORK, NY",655
2020-07-28,"NEW YORK, NY",1282
2020-07-27,"NEW YORK, NY",1271
2020-07-31,"NEW YORK, NY",992
2020-07-02,"NEW YORK, NY",1150
2020-07-01,"NEW YORK, NY",1360
2020-08-17,"NEW YORK, NY",1707
2020-08-28,"NEW YORK, NY",1445
2020-09-07,"NEW YORK, NY",976
2020-09-21,"NEW YORK, NY",1892
2020-09-08,"NEW YORK, NY",2047
2020-09-06,"NEW YORK, NY",527
2020-10-22,"NEW YORK, NY",1086
2020-11-18,"NEW YORK, NY",1169
2020-11-10,"NEW YORK, NY",1292
2020-11-01,"NEW YORK, NY",467
2020-11-07,"NEW YORK, NY",642
2020-11-08,"NEW YORK, NY",400
2020-12-11,"NEW YORK, NY",1066
2020-12-07,"NEW YORK, NY",1233
2020-12-15,"NEW YORK, NY",1231
2020-12-21,"NEW YORK, NY",1134
2020-12-22,"NEW YORK, NY",1023
2020-12-24,"NEW YORK, NY",608
2021-01-25,"NEW YORK, NY",1298
2021-01-20,"NEW YORK, NY",982
2021-01-28,"NEW YORK, NY",1098
2021-02-28,"NEW YORK, NY",330
2021-02-26,"NEW YORK, NY",838
2021-03-12,"NEW YORK, NY",808
2021-03-23,"NEW YORK, NY",881
2021-03-25,"NEW YORK, NY",713
2021-03-10,"NEW YORK, NY",903
2021-03-21,"NEW YORK, NY",282
2021-04-01,"NEW YORK, NY",1030
2021-04-06,"NEW YORK, NY",980
2021-04-22,"NEW YORK, NY",695
2021-04-24,"NEW YORK, NY",326
2021-05-04,"NEW YORK, NY",799
2021-05-08,"NEW YORK, NY",368
2021-05-31,"NEW YORK, NY",282
2021-06-12,"NEW YORK, NY",302
2021-06-08,"NEW YORK, NY",695
2021-06-13,"NEW YORK, NY",153
2021-07-01,"NEW YORK, NY",633
2021-07-30,"NEW YORK, NY",613
2021-07-12,"NEW YORK, NY",536
2021-08-28,"NEW YORK, NY",385
2021-08-26,"NEW YORK, NY",852
2021-08-03,"NEW YORK, NY",605
2021-08-22,"NEW YORK, NY",296
2021-09-06,"NEW YORK, NY",498
2021-09-04,"NEW YORK, NY",546
2021-09-09,"NEW YORK, NY",971
2021-09-28,"NEW YORK, NY",651
2021-09-11,"NEW YORK, NY",454
2021-09-26,"NEW YORK, NY",222
2021-09-29,"NEW YORK, NY",467
2018-01-18,"NEW YORK, NY",1379
2018-01-21,"NEW YORK, NY",664
2018-01-27,"NEW YORK, NY",1007
2018-01-06,"NEW YORK, NY",956
2018-01-12,"NEW YORK, NY",1153
2018-01-23,"NEW YORK, NY",1675
2018-01-14,"NEW YORK, NY",544
2018-02-27,"NEW YORK, NY",1799
2018-02-02,"NEW YORK, NY",1511
2018-02-15,"NEW YORK, NY",1228
2018-02-19,"NEW YORK, NY",1315
2018-02-22,"NEW YORK, NY",1795
2018-02-06,"NEW YORK, NY",1562
